V1,V2,V3,V4,V5,V6
Average after-tax income of one-parent economic families,423,ONE,Average,Income/work,average_after_tax_income_of_one_parent_economic_families
Number of people with knowledge of only French as an official language,427,ONE,Number,Language,number_of_people_with_knowledge_of_only_french_as_an_official_language
Percent of people with knowledge of only French as an official language,427,425,Percentage 2,Language,percent_of_people_with_knowledge_of_only_french_as_an_official_language
Percent of pop with knowledge of neither English nor French,429,425,Percentage 2,Language,percent_of_pop_with_knowledge_of_neither_english_nor_french
Number of people with knowledge of neither English nor French,429,ONE,Number,Language,number_of_people_with_knowledge_of_neither_english_nor_french
Percent of pop that are Indigenous,1445,1444,Percentage 2,Indigenous,percent_of_pop_that_are_indigenous
Number of people who are Indigenous,1445,ONE,Number,Indigenous,number_of_people_who_are_indigenous
Percent of Pop that are FN,1447,1444,Percentage 2,Indigenous,percent_of_pop_that_are_fn
Number of people who are FN,1447,ONE,Number,Indigenous,number_of_people_who_are_fn
Percent of Pop that are Metis,1448,1444,Percentage 2,Indigenous,percent_of_pop_that_are_metis
Number of people who are Metis,1448,ONE,Number,Indigenous,number_of_people_who_are_metis
Percent of Pop that are Inuit,1449,1444,Percentage 2,Indigenous,percent_of_pop_that_are_inuit
Number of people who are Inuit,1449,ONE,Number,Indigenous,number_of_people_who_are_inuit
Percent of pop that are immigrants,1485,1483,Percentage 2,Immigration,percent_of_pop_that_are_immigrants
Number of immigrants,1485,ONE,Number,Immigration,number_of_immigrants
Percent of pop that are recent immigrants (arr. 2016-2021),1492,1483,Percentage 2,Immigration,percent_of_pop_that_are_recent_immigrants_arr_2016_2021
Number of recent immigrants (arr. 2016-2021),1492,ONE,Number,Immigration,number_of_recent_immigrants_arr_2016_2021
Percent of pop that are refugees,1630,1,Percentage 2,Immigration,percent_of_pop_that_are_refugees
Percent of immigrants that are refugees,1630,1625,Percentage 2,Immigration,percent_of_immigrants_that_are_refugees
Number of refugees,1630,ONE,Number,Immigration,number_of_refugees
Percent of pop that are visible minority,1640,1639,Percentage 2,Demographics,percent_of_pop_that_are_visible_minority
Number of people who are visible minority,1640,ONE,Number,Demographics,number_of_people_who_are_visible_minority
Percent in the labour force (participation rate),1963,1962,Percentage 2,Income/work,percent_in_the_labour_force_participation_rate
Number of pop in labour force,1963,ONE,Number,Income/work,number_of_pop_in_labour_force
Unemployment rate,1965,1963,Percentage 2,Income/work,unemployment_rate
Number of pop unemployed,1965,ONE,Number,Income/work,number_of_pop_unemployed
Number of people age 25-64 w/no high school diploma or equivalent,2059,ONE,Number,Education,number_of_people_age_25_64_w_no_high_school_diploma_or_equivalent
Percent of pop age 25-64 with no high school diploma or equivalent,2059,2058,Percentage 2,Education,percent_of_pop_age_25_64_with_no_high_school_diploma_or_equivalent
Number of people age 25-64 with a high school diploma,2060,ONE,Number,Education,number_of_people_age_25_64_with_a_high_school_diploma
Percent of people age 25-64 with a high school diploma,2060,2058,Percentage 2,Education,percent_of_people_age_25_64_with_a_high_school_diploma
Number of pop age 25-64 with postsecondary degree/diploma/certificate,2064,ONE,Number,Education,number_of_pop_age_25_64_with_postsecondary_degree_diploma_certificate
Percent of pop age 25-64 with postsecondary degree/diploma/certificate,2064,2061,Percentage 2,Education,percent_of_pop_age_25_64_with_postsecondary_degree_diploma_certificate
Number of workers age 15+ who work at home,2564,ONE,Number,Income/work,number_of_workers_age_15_who_work_at_home
Percent of workers age 15+ who work at home,2564,NA,Percentage 2,Income/work,percent_of_workers_age_15_who_work_at_home
Number of workers age 15+ who have no fixed workplace address,2566,ONE,Number,Income/work,number_of_workers_age_15_who_have_no_fixed_workplace_address
Percent of workers age 15+ who have no fixed workplace address,2566,NA,Percentage 2,Income/work,percent_of_workers_age_15_who_have_no_fixed_workplace_address
"Number of workers age 15+ who commute by car, truck, or van",2574,ONE,Number,Commuting,number_of_workers_age_15_who_commute_by_car_truck_or_van
"Percent of workers age 15+ who commute by car, truck, or van",2574,2573,Percentage 2,Commuting,percent_of_workers_age_15_who_commute_by_car_truck_or_van
Number of workers age 15+ who commute by public transit,2577,ONE,Number,Commuting,number_of_workers_age_15_who_commute_by_public_transit
Percent of workers age 15+ who commute by public transit,2577,2573,Percentage 2,Commuting,percent_of_workers_age_15_who_commute_by_public_transit
Number of workers age 15+ who commute by walking,2578,ONE,Number,Commuting,number_of_workers_age_15_who_commute_by_walking
Percent of workers age 15+ who commute by walking,2578,2573,Percentage 2,Commuting,percent_of_workers_age_15_who_commute_by_walking
Number of workers age 15+ who commute by bicycle,2579,ONE,Number,Commuting,number_of_workers_age_15_who_commute_by_bicycle
Percent of workers age 15+ who commute by bicycle,2579,2573,Percentage 2,Commuting,percent_of_workers_age_15_who_commute_by_bicycle
Number of workers age 15+ who commute by other means,2580,ONE,Number,Commuting,number_of_workers_age_15_who_commute_by_other_means
Percent of workers age 15+ who commute by other means,2580,2573,Percentage 2,Commuting,percent_of_workers_age_15_who_commute_by_other_means
Percent of workers who commute for 60 minutes and over,2586,2581,Percentage 2,Commuting,percent_of_workers_who_commute_for_60_minutes_and_over
Number of youth age 15-24,7+8,ONE,Number,Demographics,number_of_youth_age_15_24
Percent of of pop that are youth age 15-24,7+8,1,Percentage 1,Demographics,percent_of_of_pop_that_are_youth_age_15_24
Number of people with French as a language most spoken at home,781+1103+1105+1106,ONE,Number,Language,number_of_people_with_french_as_a_language_most_spoken_at_home
Percent of people with French as a language most spoken at home,781+1103+1105+1106,777,Percentage 2,Language,percent_of_people_with_french_as_a_language_most_spoken_at_home
