var_name_clean,var_name,numerator,denominator,type,category,ind_or_hh,VAR_ID,source,reference_year
Number of recent immigrants (arr. 2016-2021),number_of_recent_immigrants_arr_2016_2021,1492,ONE,Number,Immigration,ind,VAR64,"Census of Population, 2021",2021
Percent of pop that are refugees,percent_of_pop_that_are_refugees,1630,1,Percentage 2,Immigration,ind,VAR65,"Census of Population, 2021",2021
Percent of immigrants that are refugees,percent_of_immigrants_that_are_refugees,1630,1625,Percentage 2,Immigration,ind,VAR66,"Census of Population, 2021",2021
Number of refugees,number_of_refugees,1630,ONE,Number,Immigration,ind,VAR67,"Census of Population, 2021",2021
Percent of pop that are visible minority,percent_of_pop_that_are_visible_minority,1640,1639,Percentage 2,Demographics,ind,VAR68,"Census of Population, 2021",2021
Number of people who are visible minority,number_of_people_who_are_visible_minority,1640,ONE,Number,Demographics,ind,VAR69,"Census of Population, 2021",2021
Percent of pop in labour force (participation rate),percent_of_pop_in_labour_force_participation_rate,1963,1962,Percentage 2,Income/work,ind,VAR70,"Census of Population, 2021",2021
Number of pop in labour force,number_of_pop_in_labour_force,1963,ONE,Number,Income/work,ind,VAR71,"Census of Population, 2021",2021
Unemployment rate,unemployment_rate,1965,1963,Percentage 2,Income/work,ind,VAR72,"Census of Population, 2021",2021
Number of pop unemployed,number_of_pop_unemployed,1965,ONE,Number,Income/work,ind,VAR73,"Census of Population, 2021",2021
Number of people age 25-64 with no high school diploma,number_of_people_age_25_64_with_no_high_school_diploma,2059,ONE,Number,Education,ind,VAR74,"Census of Population, 2021",2021
Percent of people age 25-64 with no high school diploma,percent_of_people_age_25_64_with_no_high_school_diploma,2059,2058,Percentage 2,Education,ind,VAR75,"Census of Population, 2021",2021
Number of people age 25-64 with a high school diploma,number_of_people_age_25_64_with_a_high_school_diploma,2060,ONE,Number,Education,ind,VAR76,"Census of Population, 2021",2021
Percent of people age 25-64 with a high school diploma,percent_of_people_age_25_64_with_a_high_school_diploma,2060,2058,Percentage 2,Education,ind,VAR77,"Census of Population, 2021",2021
"Number of people age 25-64 with a postsecondary degree, diploma, or certificate",number_of_people_age_25_64_with_a_postsecondary_degree_diploma_or_certificate,2064,ONE,Number,Education,ind,VAR78,"Census of Population, 2021",2021
"Percent of people age 25-64 with a postsecondary degree, diploma, or certificate",percent_of_people_age_25_64_with_a_postsecondary_degree_diploma_or_certificate,2064,2061,Percentage 2,Education,ind,VAR79,"Census of Population, 2021",2021
Number of workers age 15+ who work at home,number_of_workers_age_15_who_work_at_home,2564,ONE,Number,Income/work,ind,VAR80,"Census of Population, 2021",2021
Percent of workers age 15+ who work at home,percent_of_workers_age_15_who_work_at_home,2564,2563,Percentage 2,Income/work,ind,VAR81,"Census of Population, 2021",2021
Number of workers age 15+ who have no fixed workplace address,number_of_workers_age_15_who_have_no_fixed_workplace_address,2566,ONE,Number,Income/work,ind,VAR82,"Census of Population, 2021",2021
Percent of workers age 15+ who have no fixed workplace address,percent_of_workers_age_15_who_have_no_fixed_workplace_address,2566,2563,Percentage 2,Income/work,ind,VAR83,"Census of Population, 2021",2021
"Number of workers age 15+ who commute by car, truck, or van",number_of_workers_age_15_who_commute_by_car_truck_or_van,2574,ONE,Number,Commuting,ind,VAR84,"Census of Population, 2021",2021
"Percent of workers age 15+ who commute by car, truck, or van",percent_of_workers_age_15_who_commute_by_car_truck_or_van,2574,2573,Percentage 2,Commuting,ind,VAR85,"Census of Population, 2021",2021
Number of workers age 15+ who commute by public transit,number_of_workers_age_15_who_commute_by_public_transit,2577,ONE,Number,Commuting,ind,VAR86,"Census of Population, 2021",2021
Percent of workers age 15+ who commute by public transit,percent_of_workers_age_15_who_commute_by_public_transit,2577,2573,Percentage 2,Commuting,ind,VAR87,"Census of Population, 2021",2021
Number of workers age 15+ who commute by walking,number_of_workers_age_15_who_commute_by_walking,2578,ONE,Number,Commuting,ind,VAR88,"Census of Population, 2021",2021
Percent of workers age 15+ who commute by walking,percent_of_workers_age_15_who_commute_by_walking,2578,2573,Percentage 2,Commuting,ind,VAR89,"Census of Population, 2021",2021
Number of workers age 15+ who commute by bicycle,number_of_workers_age_15_who_commute_by_bicycle,2579,ONE,Number,Commuting,ind,VAR90,"Census of Population, 2021",2021
Percent of workers age 15+ who commute by bicycle,percent_of_workers_age_15_who_commute_by_bicycle,2579,2573,Percentage 2,Commuting,ind,VAR91,"Census of Population, 2021",2021
Number of workers age 15+ who commute by other means,number_of_workers_age_15_who_commute_by_other_means,2580,ONE,Number,Commuting,ind,VAR92,"Census of Population, 2021",2021
Percent of workers age 15+ who commute by other means,percent_of_workers_age_15_who_commute_by_other_means,2580,2573,Percentage 2,Commuting,ind,VAR93,"Census of Population, 2021",2021
Percent of workers age 15+ who commute for 60 minutes and over,percent_of_workers_age_15_who_commute_for_60_minutes_and_over,2586,2581,Percentage 2,Commuting,ind,VAR94,"Census of Population, 2021",2021
Number of youth age 15-24,number_of_youth_age_15_24,7+8,ONE,Number,Demographics,ind,VAR95,"Census of Population, 2021",2021
Percent of pop that are youth age 15-24,percent_of_pop_that_are_youth_age_15_24,7+8,1,Percentage 1,Demographics,ind,VAR96,"Census of Population, 2021",2021
Number of people with French as a language most spoken at home,number_of_people_with_french_as_a_language_most_spoken_at_home,781+1103+1105+1106,ONE,Number,Language,ind,VAR97,"Census of Population, 2021",2021
Percent of people with French as a language most spoken at home,percent_of_people_with_french_as_a_language_most_spoken_at_home,781+1103+1105+1106,777,Percentage 2,Language,ind,VAR98,"Census of Population, 2021",2021
