ONS_ID,percent_attached,percent_uncertaintly_attached,crime_person_total_per_1000pop_plus_50m_buffer,crime_property_total_per_1000pop_plus_50m_buffer,crime_other_total_per_1000pop_plus_50m_buffer,crime_total_per_1000pop_plus_50m_buffer,walkscore_mean,bikescore_mean,Percent_coverage_tree canopy,Percent_coverage_parkland_residential,Pedestrian_Network_Density_km_per_km2,Cycling_Network_Density_km_per_km2,Trail_Network_Density_km_per_km2,Residents_within_15_min_walk_%_chc,Average_distance_to_nearest_chc_km,food_supermarket_dist_closest_3_popwt,food_supermarket_pct_within_15_mins,food_supermarketgrocery_dist_closest_3_popwt,food_supermarketgrocery_pct_within_15_mins,food_convenience_num_per_1000_res_plus_buffer,food_convenience_dist_closest_3_popwt,food_convenience_pct_within_15_mins,food_fastfood_num_per_1000_res_plus_buffer,food_fastfood_dist_closest_3_popwt,food_restaurant_num_per_1000_res_plus_buffer,food_restaurant_dist_closest_3_popwt,food_restaurant_pct_within_15_mins,food_specialty_dist_closest_3_popwt,food_specialty_pct_within_15_mins,mh_counselling_num_per_1000_res_plus_buffer,mh_counselling_dist_closest_3_popwt,mh_counselling_dist_closest_5_popwt,mh_services_num_per_1000_res_plus_buffer,mh_services_dist_closest_1_popwt,mh_services_dist_closest_3_popwt,mh_services_dist_closest_5_popwt,mh_supportgroup_num_per_1000_res_plus_buffer,mh_supportgroup_dist_closest_5_popwt,mh_supportgroup_dist_closest_10_popwt,cannabis_num_per_1000_res_plus_buffer,cannabis_dist_closest_3_popwt,cannabis_pct_within_15_mins,moneylender_num_per_1000_res_plus_buffer,moneylender_dist_closest_3_popwt,moneylender_pct_within_15_mins
3012,Q3,Q3,Q4,Q4,Q3,Q4,Q3,Q3,Q3,Q4,Q3,Q3,Q2,Q5,Q2,Q1,Q4,Q1,Q3,Q3,Q2,Q4,Q3,Q3,Q3,Q3,Q2,Q2,Q3,Q2,Q2,Q2,Q2,Q2,Q2,Q2,Q4,Q2,Q2,Q2,Q2,Q4,Q2,Q1,Q4
3013,Q2,Q4,Q3,Q5,Q3,Q5,Q2,Q4,Q3,Q1,Q3,Q3,Q3,Q4,Q2,Q2,Q4,Q2,Q3,Q2,Q3,Q4,Q2,Q2,Q1,Q3,Q3,Q2,Q3,Q2,Q1,Q1,Q5,Q2,Q1,Q1,Q4,Q1,Q1,Q2,Q2,Q3,Q4,Q1,Q4
3014,Q4,Q2,Q1,Q1,Q1,Q1,Q2,Q2,Q2,Q2,Q4,Q4,Q4,Q2,Q4,Q3,Q2,Q3,Q3,Q1,Q4,Q3,Q1,Q4,Q1,Q4,Q2,Q4,Q1,Q2,Q4,Q3,Q2,Q3,Q4,Q3,Q3,Q3,Q3,Q2,Q4,Q2,Q2,Q4,Q2
3015,Q2,Q4,Q5,Q4,Q4,Q4,Q3,Q5,Q5,Q5,Q5,Q5,Q5,Q5,Q1,Q1,Q5,Q1,Q5,Q5,Q1,Q5,Q4,Q1,Q4,Q1,Q5,Q1,Q5,Q2,Q2,Q2,Q5,Q2,Q2,Q2,Q2,Q2,Q2,Q4,Q3,Q4,Q5,Q1,Q5
3016,Q3,Q3,Q1,Q2,Q2,Q2,Q2,Q3,Q1,Q4,Q3,Q3,Q2,Q2,Q5,Q4,Q3,Q4,Q3,Q3,Q4,Q2,Q3,Q3,Q4,Q2,Q3,Q4,Q2,Q2,Q5,Q5,Q2,Q5,Q5,Q5,Q2,Q5,Q4,Q4,Q3,Q4,Q2,Q4,Q2
3017,Q4,Q2,Q1,Q1,Q3,Q1,Q3,Q3,Q2,Q3,Q2,Q3,Q2,Q2,Q4,Q3,Q4,Q3,Q4,Q1,Q4,Q2,Q2,Q4,Q1,Q4,Q3,Q4,Q2,Q2,Q4,Q4,Q2,Q4,Q4,Q4,Q2,Q4,Q4,Q4,Q3,Q3,Q2,Q4,Q2
3018,Q1,Q4,Q3,Q3,Q3,Q3,Q3,Q4,Q4,Q4,Q3,Q3,Q3,Q2,Q3,Q4,Q1,Q2,Q4,Q4,Q1,Q5,Q3,Q1,Q3,Q1,Q5,Q1,Q4,Q2,Q2,Q3,Q2,Q2,Q2,Q3,Q4,Q3,Q2,Q4,Q1,Q4,Q2,Q3,Q2
3019,NA,NA,NA,NA,NA,NA,Q2,Q5,Q2,NA,Q4,Q5,Q5,Q2,Q2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Q2,NA,NA,Q2,NA,NA
3020,Q1,Q5,Q5,Q4,Q4,Q4,Q4,Q5,Q2,Q2,Q5,Q3,Q3,Q5,Q1,Q3,Q3,Q2,Q5,Q4,Q1,Q5,Q3,Q2,Q4,Q2,Q5,Q3,Q3,Q5,Q1,Q1,Q4,Q1,Q1,Q1,Q3,Q1,Q1,Q3,Q2,Q4,Q4,Q2,Q4
3021,Q5,Q1,Q1,Q2,Q1,Q2,Q1,Q1,Q5,Q1,Q1,Q1,Q1,Q2,Q5,Q5,Q1,Q5,Q1,Q4,Q5,Q1,Q3,Q5,Q3,Q5,Q1,Q5,Q2,Q2,Q5,Q5,Q5,Q5,Q5,Q5,Q4,Q5,Q5,Q2,Q5,Q2,Q2,Q5,Q2
3022,Q2,Q3,Q4,Q5,Q5,Q5,Q2,Q3,Q3,Q2,Q3,Q3,Q4,Q5,Q2,Q2,Q3,Q3,Q3,Q2,Q2,Q3,Q4,Q2,Q4,Q2,Q5,Q3,Q3,Q5,Q2,Q2,Q4,Q2,Q2,Q2,Q2,Q2,Q2,Q3,Q3,Q3,Q4,Q2,Q4
3023,Q3,Q3,Q3,Q5,Q3,Q5,Q2,Q4,Q3,Q4,Q4,Q4,Q3,Q2,Q3,Q4,Q2,Q4,Q2,Q2,Q3,Q3,Q4,Q2,Q2,Q2,Q5,Q3,Q2,Q2,Q3,Q3,Q2,Q3,Q3,Q3,Q2,Q3,Q2,Q3,Q3,Q2,Q2,Q3,Q2
3024,Q1,Q5,Q5,Q5,Q5,Q5,Q5,Q5,Q1,Q5,Q5,Q5,Q5,Q5,Q1,Q1,Q5,Q1,Q5,Q5,Q1,Q5,Q5,Q1,Q5,Q1,Q5,Q1,Q5,Q5,Q1,Q1,Q5,Q1,Q1,Q1,Q5,Q1,Q1,Q5,Q1,Q5,Q5,Q1,Q5
3025,Q4,Q2,Q1,Q2,Q2,Q2,Q4,Q2,Q5,Q3,Q4,Q4,Q4,Q2,Q4,Q3,Q3,Q3,Q3,Q3,Q3,Q2,Q3,Q4,Q3,Q4,Q2,Q3,Q3,Q2,Q3,Q3,Q2,Q3,Q3,Q3,Q3,Q3,Q3,Q3,Q4,Q2,Q5,Q2,Q4
3026,Q5,Q1,Q2,Q2,Q1,Q2,Q2,Q1,Q3,Q3,Q2,Q2,Q2,Q2,Q5,Q4,Q2,Q4,Q1,Q1,Q5,Q1,Q3,Q5,Q2,Q5,Q1,Q4,Q1,Q2,Q4,Q4,Q2,Q4,Q4,Q4,Q2,Q4,Q4,Q3,Q5,Q1,Q4,Q4,Q2
3027,Q2,Q4,Q2,Q1,Q1,Q2,Q5,Q2,Q2,Q4,Q5,Q5,Q4,Q2,Q4,Q1,Q4,Q2,Q4,Q1,Q4,Q2,Q2,Q3,Q2,Q2,Q3,Q2,Q3,Q4,Q4,Q4,Q2,Q3,Q4,Q4,Q2,Q4,Q4,Q2,Q4,Q2,Q2,Q4,Q2
3028,Q1,Q5,Q4,Q5,Q4,Q5,Q4,Q3,Q2,Q1,Q2,Q2,Q2,Q4,Q1,Q2,Q4,Q2,Q4,Q5,Q2,Q5,Q5,Q2,Q5,Q2,Q5,Q2,Q4,Q5,Q2,Q2,Q2,Q1,Q2,Q2,Q5,Q2,Q1,Q4,Q2,Q4,Q5,Q1,Q5
3029,Q2,Q4,Q5,Q4,Q4,Q4,Q5,Q5,Q3,Q1,Q5,Q2,Q2,Q4,Q1,Q3,Q3,Q3,Q3,Q2,Q2,Q5,Q2,Q1,Q1,Q1,Q5,Q1,Q4,Q2,Q1,Q1,Q5,Q1,Q1,Q1,Q5,Q1,Q1,Q2,Q1,Q5,Q2,Q3,Q2
3030,NA,NA,NA,NA,NA,NA,Q2,Q3,Q1,NA,Q2,Q2,Q1,Q2,Q3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Q5,NA,NA,Q5,NA,NA
3031,Q5,Q1,Q3,Q1,Q1,Q1,Q1,Q1,Q5,Q1,Q2,Q1,Q4,Q2,Q5,Q5,Q1,Q5,Q1,Q5,Q5,Q2,Q2,Q5,Q2,Q5,Q1,Q5,Q2,Q2,Q5,Q5,Q2,Q5,Q5,Q5,Q2,Q5,Q5,Q2,Q5,Q1,Q2,Q5,Q2
3032,Q4,Q2,Q3,Q3,Q2,Q3,Q4,Q2,Q4,Q4,Q4,Q5,Q5,Q4,Q3,Q3,Q4,Q3,Q4,Q3,Q3,Q2,Q3,Q2,Q4,Q4,Q2,Q4,Q2,Q2,Q3,Q2,Q2,Q3,Q3,Q2,Q3,Q2,Q3,Q4,Q2,Q4,Q5,Q2,Q4
3033,Q5,Q1,Q2,Q1,Q2,Q1,Q1,Q1,Q5,Q1,Q1,Q1,Q1,Q2,Q5,Q5,Q1,Q5,Q1,Q1,Q5,Q1,Q1,Q5,Q1,Q5,Q1,Q5,Q1,Q2,Q5,Q5,Q2,Q5,Q5,Q5,Q2,Q5,Q5,Q2,Q5,Q1,Q2,Q5,Q2
3034,Q3,Q3,Q2,Q2,Q4,Q2,Q2,Q4,Q2,Q4,Q4,Q5,Q4,Q2,Q4,Q4,Q2,Q4,Q2,Q2,Q3,Q3,Q2,Q4,Q1,Q4,Q2,Q3,Q2,Q5,Q3,Q3,Q2,Q2,Q3,Q3,Q2,Q3,Q3,Q2,Q4,Q2,Q2,Q4,Q2
3035,Q2,Q4,Q4,Q4,Q3,Q4,Q2,Q4,Q3,Q1,Q3,Q3,Q5,Q4,Q3,Q3,Q3,Q3,Q3,Q4,Q3,Q3,Q5,Q3,Q4,Q3,Q2,Q4,Q2,Q2,Q3,Q3,Q2,Q4,Q3,Q3,Q2,Q3,Q2,Q4,Q2,Q3,Q5,Q2,Q4
3036,Q4,Q2,Q1,Q1,Q1,Q1,Q1,Q3,Q5,Q4,Q2,Q3,Q4,Q2,Q4,Q5,Q1,Q5,Q2,Q2,Q4,Q3,Q1,Q4,Q3,Q3,Q3,Q4,Q2,Q2,Q4,Q4,Q2,Q5,Q4,Q4,Q2,Q4,Q4,Q2,Q5,Q1,Q2,Q4,Q2
3037,Q5,Q1,Q2,Q1,Q2,Q1,Q1,Q1,Q4,Q1,Q1,Q1,Q1,Q2,Q5,Q5,Q2,Q5,Q1,Q2,Q5,Q1,Q1,Q5,Q1,Q5,Q1,Q5,Q2,Q2,Q5,Q5,Q2,Q5,Q5,Q5,Q2,Q5,Q5,Q2,Q5,Q1,Q2,Q5,Q2
3038,Q5,Q1,Q1,Q1,Q1,Q1,Q1,Q1,Q5,Q2,Q1,Q1,Q1,Q2,Q5,Q5,Q1,Q5,Q1,Q3,Q5,Q1,Q1,Q5,Q2,Q5,Q1,Q5,Q1,Q2,Q5,Q5,Q2,Q5,Q5,Q5,Q4,Q5,Q5,Q2,Q5,Q1,Q2,Q5,Q2
3039,Q3,Q3,Q3,Q4,Q3,Q4,Q1,Q1,Q5,Q5,Q1,Q1,Q1,Q2,Q5,Q5,Q1,Q5,Q1,Q5,Q5,Q1,Q1,Q5,Q4,Q5,Q1,Q5,Q1,Q2,Q5,Q5,Q2,Q5,Q5,Q5,Q2,Q5,Q5,Q2,Q5,Q2,Q2,Q5,Q2
3040,Q2,Q4,Q4,Q4,Q5,Q4,Q4,Q4,Q3,Q1,Q4,Q3,Q3,Q2,Q3,Q2,Q3,Q2,Q3,Q4,Q2,Q4,Q3,Q2,Q2,Q3,Q3,Q2,Q4,Q2,Q2,Q2,Q2,Q2,Q2,Q2,Q4,Q2,Q2,Q4,Q3,Q3,Q5,Q2,Q4
3041,Q1,Q4,Q4,Q4,Q3,Q4,Q5,Q3,Q5,Q2,Q3,Q2,Q5,Q2,Q3,Q1,Q4,Q1,Q4,Q5,Q1,Q5,Q4,Q2,Q3,Q2,Q4,Q2,Q3,Q2,Q4,Q4,Q2,Q4,Q4,Q4,Q2,Q4,Q4,Q4,Q1,Q5,Q5,Q3,Q5
3042,NA,NA,NA,NA,NA,NA,Q3,Q5,Q1,NA,Q2,Q4,Q5,Q2,Q2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Q2,NA,NA,Q2,NA,NA
3043,Q4,Q2,Q2,Q1,Q1,Q1,Q3,Q2,Q1,Q3,Q4,Q4,Q3,Q4,Q3,Q2,Q4,Q2,Q3,Q2,Q4,Q2,Q3,Q3,Q2,Q3,Q3,Q3,Q2,Q2,Q3,Q3,Q2,Q3,Q3,Q3,Q4,Q3,Q3,Q3,Q3,Q3,Q4,Q3,Q4
3044,Q4,Q2,Q2,Q3,Q2,Q2,Q3,Q1,Q5,Q3,Q1,Q1,Q2,Q2,Q5,Q5,Q3,Q5,Q3,Q3,Q4,Q2,Q2,Q4,Q2,Q4,Q2,Q5,Q1,Q2,Q5,Q5,Q2,Q5,Q5,Q5,Q2,Q5,Q5,Q3,Q5,Q3,Q2,Q4,Q2
3045,Q2,Q4,Q5,Q5,Q4,Q5,Q4,Q3,Q2,Q1,Q3,Q3,Q1,Q5,Q1,Q2,Q3,Q1,Q3,Q5,Q3,Q3,Q5,Q2,Q5,Q2,Q5,Q2,Q4,Q5,Q2,Q2,Q5,Q2,Q2,Q2,Q2,Q2,Q2,Q5,Q1,Q5,Q5,Q2,Q4
3046,Q5,Q1,Q3,Q2,Q2,Q2,Q1,Q1,Q5,Q5,Q1,Q1,Q1,Q2,Q5,Q5,Q1,Q5,Q1,Q2,Q5,Q1,Q1,Q5,Q1,Q5,Q1,Q5,Q1,Q2,Q5,Q5,Q2,Q5,Q5,Q5,Q4,Q5,Q5,Q2,Q5,Q1,Q2,Q5,Q2
3047,Q2,Q4,Q4,Q4,Q5,Q4,Q4,Q5,Q4,Q4,Q5,Q5,Q5,Q4,Q2,Q1,Q4,Q1,Q5,Q4,Q1,Q5,Q4,Q1,Q5,Q1,Q5,Q1,Q5,Q2,Q1,Q1,Q2,Q1,Q1,Q1,Q4,Q1,Q1,Q5,Q1,Q5,Q2,Q2,Q3
3048,Q4,Q2,Q3,Q3,Q2,Q3,Q3,Q3,Q1,Q3,Q4,Q5,Q4,Q5,Q2,Q2,Q4,Q2,Q4,Q4,Q4,Q2,Q5,Q3,Q4,Q2,Q3,Q3,Q4,Q2,Q3,Q2,Q2,Q2,Q3,Q2,Q4,Q2,Q3,Q5,Q3,Q4,Q5,Q2,Q4
3049,Q5,Q1,Q1,Q2,Q1,Q2,Q1,Q1,Q5,Q1,Q1,Q1,Q1,Q2,Q5,Q5,Q2,Q5,Q2,Q4,Q5,Q1,Q1,Q5,Q2,Q5,Q1,Q5,Q1,Q2,Q5,Q5,Q2,Q5,Q5,Q5,Q2,Q5,Q5,Q2,Q5,Q1,Q2,Q5,Q2
3050,NA,NA,NA,NA,NA,NA,Q1,Q1,Q5,Q5,Q1,Q1,Q2,Q2,Q5,Q4,NA,Q4,NA,NA,Q2,NA,NA,Q3,NA,Q3,NA,Q4,NA,NA,Q4,Q4,NA,Q4,Q4,Q4,NA,Q4,Q4,Q2,Q4,Q2,Q2,Q2,Q4
3051,NA,NA,NA,NA,NA,NA,Q1,Q1,Q5,Q5,Q1,Q2,Q2,Q2,Q4,Q4,NA,Q4,NA,NA,Q5,NA,NA,Q5,NA,Q5,NA,Q4,NA,NA,Q4,Q4,NA,Q4,Q4,Q4,NA,Q4,Q4,Q2,Q4,Q1,Q2,Q4,Q2
3052,Q3,Q3,Q4,Q2,Q3,Q3,Q5,Q4,Q3,Q3,Q4,Q5,Q5,Q2,Q4,Q4,Q1,Q4,Q1,Q1,Q2,Q5,Q1,Q3,Q1,Q4,Q2,Q3,Q3,Q2,Q3,Q3,Q2,Q1,Q3,Q3,Q4,Q3,Q3,Q2,Q4,Q1,Q2,Q3,Q2
3053,Q3,Q3,Q4,Q2,Q4,Q3,Q5,Q4,Q2,Q4,Q5,Q5,Q5,Q2,Q3,Q2,Q3,Q2,Q3,Q2,Q2,Q5,Q2,Q2,Q1,Q3,Q3,Q3,Q3,Q2,Q3,Q3,Q2,Q3,Q3,Q3,Q2,Q3,Q3,Q2,Q2,Q2,Q2,Q3,Q4
3054,Q1,Q5,Q4,Q4,Q5,Q4,Q5,Q3,Q2,Q1,Q4,Q2,Q2,Q2,Q4,Q1,Q5,Q1,Q5,Q3,Q2,Q4,Q4,Q2,Q2,Q3,Q4,Q3,Q4,Q2,Q2,Q2,Q2,Q2,Q2,Q2,Q2,Q2,Q2,Q5,Q1,Q5,Q5,Q2,Q5
3055,Q1,Q4,Q4,Q5,Q5,Q5,Q5,Q5,Q2,Q2,Q5,Q5,Q4,Q4,Q1,Q2,Q5,Q1,Q5,Q4,Q1,Q5,Q5,Q1,Q5,Q1,Q5,Q1,Q5,Q5,Q1,Q1,Q5,Q1,Q1,Q1,Q5,Q1,Q1,Q5,Q1,Q5,Q2,Q3,Q2
3056,Q2,Q4,Q3,Q3,Q3,Q2,Q4,Q3,Q2,Q2,Q5,Q4,Q4,Q2,Q4,Q4,Q1,Q4,Q1,Q3,Q2,Q4,Q2,Q3,Q1,Q4,Q2,Q3,Q4,Q2,Q3,Q3,Q2,Q3,Q3,Q3,Q2,Q3,Q3,Q4,Q4,Q2,Q2,Q4,Q2
3057,NA,NA,NA,NA,NA,NA,Q4,Q2,Q1,NA,Q2,Q1,Q1,Q2,Q4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Q5,NA,NA,Q2,NA,NA
3058,Q1,Q5,Q4,Q4,Q4,Q4,Q3,Q4,Q3,Q3,Q3,Q3,Q2,Q2,Q3,Q4,Q2,Q4,Q2,Q5,Q2,Q5,Q5,Q1,Q4,Q2,Q5,Q1,Q5,Q2,Q2,Q2,Q2,Q3,Q2,Q2,Q2,Q2,Q2,Q4,Q3,Q3,Q2,Q3,Q2
3059,Q4,Q2,Q3,Q4,Q2,Q4,Q5,Q5,Q4,Q2,Q5,Q5,Q5,Q4,Q2,Q1,Q5,Q1,Q5,Q3,Q2,Q3,Q5,Q1,Q5,Q1,Q5,Q1,Q5,Q2,Q2,Q1,Q2,Q2,Q2,Q1,Q4,Q1,Q1,Q5,Q1,Q5,Q2,Q4,Q2
3060,Q3,Q2,Q1,Q3,Q2,Q3,Q2,Q2,Q3,Q5,Q3,Q4,Q4,Q2,Q4,Q3,Q2,Q3,Q3,Q2,Q4,Q2,Q4,Q4,Q4,Q4,Q2,Q3,Q2,Q2,Q4,Q4,Q2,Q4,Q4,Q4,Q2,Q4,Q4,Q3,Q3,Q2,Q2,Q4,Q2
3061,Q3,Q3,Q3,Q3,Q4,Q3,Q4,Q4,Q3,Q5,Q4,Q5,Q5,Q5,Q1,Q2,Q5,Q2,Q4,Q4,Q2,Q3,Q4,Q3,Q4,Q2,Q3,Q2,Q3,Q4,Q2,Q2,Q4,Q2,Q2,Q2,Q3,Q2,Q3,Q5,Q2,Q3,Q5,Q1,Q4
3062,Q5,Q1,Q1,Q1,Q1,Q1,Q1,Q1,Q4,Q1,Q1,Q1,Q1,Q2,Q5,Q5,Q1,Q5,Q1,Q4,Q5,Q1,Q1,Q5,Q1,Q5,Q1,Q5,Q1,Q2,Q5,Q5,Q2,Q5,Q5,Q5,Q5,Q5,Q5,Q2,Q5,Q1,Q2,Q5,Q2
3063,Q3,Q3,Q3,Q4,Q4,Q4,Q4,Q5,Q4,Q2,Q4,Q5,Q2,Q2,Q2,Q3,Q3,Q2,Q5,Q3,Q2,Q3,Q5,Q2,Q5,Q1,Q5,Q1,Q4,Q2,Q2,Q2,Q2,Q2,Q2,Q2,Q4,Q2,Q1,Q3,Q2,Q4,Q2,Q2,Q4
3064,NA,NA,NA,NA,NA,NA,Q5,Q5,Q1,NA,Q5,Q5,Q5,Q5,Q1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Q2,NA,NA,Q2,NA,NA
3065,Q1,Q5,Q5,Q4,Q4,Q4,Q4,Q4,Q1,Q5,Q3,Q2,Q2,Q5,Q1,Q2,Q5,Q1,Q4,Q3,Q1,Q5,Q3,Q2,Q4,Q1,Q5,Q1,Q5,Q2,Q2,Q2,Q5,Q2,Q2,Q2,Q2,Q2,Q2,Q3,Q2,Q4,Q2,Q2,Q3
3066,Q2,Q3,Q2,Q2,Q2,Q2,Q2,Q3,Q4,Q3,Q4,Q4,Q3,Q2,Q4,Q4,Q1,Q4,Q1,Q1,Q4,Q1,Q1,Q3,Q2,Q3,Q5,Q4,Q2,Q2,Q3,Q3,Q2,Q4,Q3,Q3,Q2,Q3,Q3,Q2,Q3,Q4,Q2,Q3,Q2
3067,Q1,Q5,Q5,Q5,Q5,Q5,Q5,Q5,Q2,Q5,Q5,Q5,Q5,Q5,Q1,Q1,Q5,Q1,Q5,Q5,Q1,Q5,Q4,Q1,Q5,Q1,Q5,Q1,Q5,Q5,Q1,Q1,Q5,Q1,Q1,Q1,Q2,Q1,Q1,Q5,Q1,Q5,Q2,Q1,Q5
3068,Q1,Q5,Q5,Q5,Q5,Q5,Q5,Q5,Q1,Q5,Q5,Q5,Q4,Q5,Q1,Q1,Q5,Q1,Q5,Q5,Q1,Q5,Q5,Q1,Q5,Q1,Q5,Q1,Q5,Q5,Q1,Q1,Q5,Q1,Q1,Q1,Q4,Q1,Q1,Q5,Q1,Q5,Q5,Q1,Q5
3069,Q2,Q4,Q4,Q3,Q3,Q3,Q5,Q5,Q4,Q1,Q3,Q4,Q5,Q4,Q2,Q1,Q3,Q2,Q3,Q4,Q1,Q5,Q3,Q2,Q3,Q1,Q5,Q2,Q5,Q2,Q2,Q2,Q4,Q2,Q2,Q2,Q2,Q2,Q2,Q2,Q2,Q4,Q5,Q1,Q5
