ONS_ID,data_ID,value
3002,food_convenience_num_per_1000_res_plus_buffer,0.39
3002,food_convenience_dist_closest_3_popwt,1.21
3002,food_convenience_pct_within_15_mins,0.72
3002,food_fastfood_num_region_plus_buffer,26
3002,food_fastfood_num_per_1000_res_plus_buffer,3.35
3002,food_fastfood_dist_closest_3_popwt,0.87
3002,food_fastfood_pct_within_15_mins,0.8
3002,food_grocery_num_region_plus_buffer,1
3002,food_grocery_num_per_1000_res_plus_buffer,0.13
3002,food_grocery_dist_closest_3_popwt,1.42
3002,food_grocery_pct_within_15_mins,0.56
3002,food_resto_num_region_plus_buffer,10
3002,food_resto_num_per_1000_res_plus_buffer,1.29
3002,food_resto_dist_closest_3_popwt,1.23
3002,food_resto_pct_within_15_mins,0.55
3002,food_specialty_num_region_plus_buffer,5
3002,food_specialty_num_per_1000_res_plus_buffer,0.64
3002,food_specialty_dist_closest_3_popwt,1.1
3002,food_specialty_pct_within_15_mins,0.72
3002,num_people_attached,6517
3002,num_people_uncertainly_attached,1034
3002,total_population_attachment,7551
3002,percent_attached,86.3
3002,percent_uncertaintly_attached,13.7
3002,crime_person_total,49
3002,crime_property_total,184
3002,crime_other_total,10
3002,crime_total,243
3002,crime_person_total_per_1000pop_plus_50m_buffer,8.89
3002,crime_property_total_per_1000pop_plus_50m_buffer,28.46
3002,crime_other_total_per_1000pop_plus_50m_buffer,1.93
3002,crime_total_per_1000pop_plus_50m_buffer,39.28
3002,walkscore_mean,36.78
3002,walkscore_sd,21.86
3002,bikescore_mean,77.97
3002,bikescore_sd,7.64
3002,Deciles,2
3002,Quintiles,1
3003,food_convenience_num_region_plus_buffer,7
3003,food_convenience_num_per_1000_res_plus_buffer,0.49
3003,food_convenience_dist_closest_3_popwt,0.81
3003,food_convenience_pct_within_15_mins,1
3003,food_fastfood_num_region_plus_buffer,39
3003,food_fastfood_num_per_1000_res_plus_buffer,2.72
3003,food_fastfood_dist_closest_3_popwt,0.54
3003,food_fastfood_pct_within_15_mins,1
3003,food_grocery_num_region_plus_buffer,0
3003,food_grocery_num_per_1000_res_plus_buffer,0
3003,food_grocery_dist_closest_3_popwt,2.35
3003,food_grocery_pct_within_15_mins,0.18
3003,food_resto_num_region_plus_buffer,5
3003,food_resto_num_per_1000_res_plus_buffer,0.35
3003,food_resto_dist_closest_3_popwt,0.93
3003,food_resto_pct_within_15_mins,0.99
3003,food_specialty_num_region_plus_buffer,10
3003,food_specialty_num_per_1000_res_plus_buffer,0.7
3003,food_specialty_dist_closest_3_popwt,0.67
3003,food_specialty_pct_within_15_mins,1
3003,num_people_attached,12603
3003,num_people_uncertainly_attached,3598
3003,total_population_attachment,16201
3003,percent_attached,77.8
3003,percent_uncertaintly_attached,22.2
3003,crime_person_total,110
3003,crime_property_total,302
3003,crime_other_total,37
3003,crime_total,449
3003,crime_person_total_per_1000pop_plus_50m_buffer,8.65
3003,crime_property_total_per_1000pop_plus_50m_buffer,23.43
3003,crime_other_total_per_1000pop_plus_50m_buffer,2.93
3003,crime_total_per_1000pop_plus_50m_buffer,35.01
3003,walkscore_mean,35.54
3003,walkscore_sd,6.82
3003,bikescore_mean,80.01
3003,bikescore_sd,5.74
3003,Deciles,10
3003,Quintiles,5
3004,food_convenience_num_region_plus_buffer,5
3004,food_convenience_num_per_1000_res_plus_buffer,0.65
3004,food_convenience_dist_closest_3_popwt,1.15
3004,food_convenience_pct_within_15_mins,0.99
3004,food_fastfood_num_region_plus_buffer,27
3004,food_fastfood_num_per_1000_res_plus_buffer,3.49
3004,food_fastfood_dist_closest_3_popwt,0.57
3004,food_fastfood_pct_within_15_mins,1
3004,food_grocery_num_region_plus_buffer,1
3004,food_grocery_num_per_1000_res_plus_buffer,0.13
3004,food_grocery_dist_closest_3_popwt,1.33
3004,food_grocery_pct_within_15_mins,0.95
3004,food_resto_num_region_plus_buffer,7
3004,food_resto_num_per_1000_res_plus_buffer,0.9
3004,food_resto_dist_closest_3_popwt,0.76
3004,food_resto_pct_within_15_mins,1
3004,food_specialty_num_region_plus_buffer,1
3004,food_specialty_num_per_1000_res_plus_buffer,0.13
3004,food_specialty_dist_closest_3_popwt,1.66
3004,food_specialty_pct_within_15_mins,0.64
3004,num_people_attached,6644
3004,num_people_uncertainly_attached,1663
3004,total_population_attachment,8307
3004,percent_attached,80
3004,percent_uncertaintly_attached,20
3004,crime_person_total,95
3004,crime_property_total,386
3004,crime_other_total,48
3004,crime_total,529
3004,crime_person_total_per_1000pop_plus_50m_buffer,12.65
3004,crime_property_total_per_1000pop_plus_50m_buffer,50.61
3004,crime_other_total_per_1000pop_plus_50m_buffer,6.46
3004,crime_total_per_1000pop_plus_50m_buffer,69.72
3004,walkscore_mean,51.56
3004,walkscore_sd,4.67
3004,bikescore_mean,65.4
3004,bikescore_sd,9.43
3004,Deciles,9
3004,Quintiles,5
3005,food_convenience_num_region_plus_buffer,2
3005,food_convenience_num_per_1000_res_plus_buffer,0.3
3005,food_convenience_dist_closest_3_popwt,1.31
3005,food_convenience_pct_within_15_mins,0.95
3005,food_fastfood_num_region_plus_buffer,1
3005,food_fastfood_num_per_1000_res_plus_buffer,0.15
3005,food_fastfood_dist_closest_3_popwt,1.11
3005,food_fastfood_pct_within_15_mins,0.99
3005,food_grocery_num_region_plus_buffer,0
3005,food_grocery_num_per_1000_res_plus_buffer,0
3005,food_grocery_dist_closest_3_popwt,2.32
3005,food_grocery_pct_within_15_mins,0.42
3005,food_resto_num_region_plus_buffer,2
3005,food_resto_num_per_1000_res_plus_buffer,0.3
3005,food_resto_dist_closest_3_popwt,1.03
3005,food_resto_pct_within_15_mins,0.98
3005,food_specialty_num_region_plus_buffer,1
3005,food_specialty_num_per_1000_res_plus_buffer,0.15
3005,food_specialty_dist_closest_3_popwt,1.63
3005,food_specialty_pct_within_15_mins,0.74
3005,num_people_attached,6329
3005,num_people_uncertainly_attached,1125
3005,total_population_attachment,7454
3005,percent_attached,84.9
3005,percent_uncertaintly_attached,15.1
3005,crime_person_total,21
3005,crime_property_total,77
3005,crime_other_total,9
3005,crime_total,107
3005,crime_person_total_per_1000pop_plus_50m_buffer,3.29
3005,crime_property_total_per_1000pop_plus_50m_buffer,11.98
3005,crime_other_total_per_1000pop_plus_50m_buffer,1.35
3005,crime_total_per_1000pop_plus_50m_buffer,16.62
3005,walkscore_mean,28.96
3005,walkscore_sd,8.2
3005,bikescore_mean,72.47
3005,bikescore_sd,3.82
3005,Deciles,7
3005,Quintiles,4
3006,food_convenience_num_region_plus_buffer,1
3006,food_convenience_num_per_1000_res_plus_buffer,NA
3006,food_convenience_dist_closest_3_popwt,NA
3006,food_convenience_pct_within_15_mins,NA
3006,food_fastfood_num_region_plus_buffer,3
3006,food_fastfood_num_per_1000_res_plus_buffer,NA
3006,food_fastfood_dist_closest_3_popwt,NA
3006,food_fastfood_pct_within_15_mins,NA
3006,food_grocery_num_region_plus_buffer,0
3006,food_grocery_num_per_1000_res_plus_buffer,NA
3006,food_grocery_dist_closest_3_popwt,NA
3006,food_grocery_pct_within_15_mins,NA
3006,food_resto_num_region_plus_buffer,4
3006,food_resto_num_per_1000_res_plus_buffer,NA
3006,food_resto_dist_closest_3_popwt,NA
3006,food_resto_pct_within_15_mins,NA
3006,food_specialty_num_region_plus_buffer,1
3006,food_specialty_num_per_1000_res_plus_buffer,NA
3006,food_specialty_dist_closest_3_popwt,NA
3006,food_specialty_pct_within_15_mins,NA
3006,num_people_attached,NA
3006,num_people_uncertainly_attached,NA
3006,total_population_attachment,NA
3006,percent_attached,NA
3006,percent_uncertaintly_attached,NA
3006,crime_person_total,NA
3006,crime_property_total,NA
3006,crime_other_total,NA
3006,crime_total,NA
3006,crime_person_total_per_1000pop_plus_50m_buffer,0
3006,crime_property_total_per_1000pop_plus_50m_buffer,0
3006,crime_other_total_per_1000pop_plus_50m_buffer,0
3006,crime_total_per_1000pop_plus_50m_buffer,0
3006,walkscore_mean,63.4
3006,walkscore_sd,10.2
3006,bikescore_mean,78.5
3006,bikescore_sd,9.5
3006,Deciles,NA
3006,Quintiles,NA
3007,food_convenience_num_region_plus_buffer,6
3007,food_convenience_num_per_1000_res_plus_buffer,1.15
3007,food_convenience_dist_closest_3_popwt,0.85
3007,food_convenience_pct_within_15_mins,0.92
3007,food_fastfood_num_region_plus_buffer,15
3007,food_fastfood_num_per_1000_res_plus_buffer,2.87
3007,food_fastfood_dist_closest_3_popwt,0.78
3007,food_fastfood_pct_within_15_mins,0.94
3007,food_grocery_num_region_plus_buffer,2
3007,food_grocery_num_per_1000_res_plus_buffer,0.38
3007,food_grocery_dist_closest_3_popwt,1.66
3007,food_grocery_pct_within_15_mins,0.59
3007,food_resto_num_region_plus_buffer,16
3007,food_resto_num_per_1000_res_plus_buffer,3.06
3007,food_resto_dist_closest_3_popwt,0.79
3007,food_resto_pct_within_15_mins,0.95
3007,food_specialty_num_region_plus_buffer,5
3007,food_specialty_num_per_1000_res_plus_buffer,0.96
3007,food_specialty_dist_closest_3_popwt,0.98
3007,food_specialty_pct_within_15_mins,0.9
3007,num_people_attached,4418
3007,num_people_uncertainly_attached,715
3007,total_population_attachment,5133
3007,percent_attached,86.1
3007,percent_uncertaintly_attached,13.9
3007,crime_person_total,27
3007,crime_property_total,190
3007,crime_other_total,16
3007,crime_total,233
3007,crime_person_total_per_1000pop_plus_50m_buffer,6.13
3007,crime_property_total_per_1000pop_plus_50m_buffer,38.7
3007,crime_other_total_per_1000pop_plus_50m_buffer,3.07
3007,crime_total_per_1000pop_plus_50m_buffer,47.89
3007,walkscore_mean,33.79
3007,walkscore_sd,13.48
3007,bikescore_mean,54.11
3007,bikescore_sd,10.45
3007,Deciles,6
3007,Quintiles,3
3008,food_convenience_num_region_plus_buffer,2
3008,food_convenience_num_per_1000_res_plus_buffer,0.46
3008,food_convenience_dist_closest_3_popwt,1.3
3008,food_convenience_pct_within_15_mins,0.84
3008,food_fastfood_num_region_plus_buffer,9
3008,food_fastfood_num_per_1000_res_plus_buffer,2.08
3008,food_fastfood_dist_closest_3_popwt,0.74
3008,food_fastfood_pct_within_15_mins,0.94
3008,food_grocery_num_region_plus_buffer,1
3008,food_grocery_num_per_1000_res_plus_buffer,0.23
3008,food_grocery_dist_closest_3_popwt,1.86
3008,food_grocery_pct_within_15_mins,1
3008,food_resto_num_region_plus_buffer,6
3008,food_resto_num_per_1000_res_plus_buffer,1.39
3008,food_resto_dist_closest_3_popwt,0.88
3008,food_resto_pct_within_15_mins,0.93
3008,food_specialty_num_region_plus_buffer,1
3008,food_specialty_num_per_1000_res_plus_buffer,0.23
3008,food_specialty_dist_closest_3_popwt,1.39
3008,food_specialty_pct_within_15_mins,0.38
3008,num_people_attached,3950
3008,num_people_uncertainly_attached,789
3008,total_population_attachment,4739
3008,percent_attached,83.4
3008,percent_uncertaintly_attached,16.6
3008,crime_person_total,32
3008,crime_property_total,79
3008,crime_other_total,12
3008,crime_total,123
3008,crime_person_total_per_1000pop_plus_50m_buffer,8.08
3008,crime_property_total_per_1000pop_plus_50m_buffer,18.94
3008,crime_other_total_per_1000pop_plus_50m_buffer,2.77
3008,crime_total_per_1000pop_plus_50m_buffer,29.79
3008,walkscore_mean,26.12
3008,walkscore_sd,6.57
3008,bikescore_mean,58.08
3008,bikescore_sd,6.28
3008,Deciles,8
3008,Quintiles,4
3009,food_convenience_num_region_plus_buffer,7
3009,food_convenience_num_per_1000_res_plus_buffer,1.15
3009,food_convenience_dist_closest_3_popwt,0.69
3009,food_convenience_pct_within_15_mins,1
3009,food_fastfood_num_region_plus_buffer,37
3009,food_fastfood_num_per_1000_res_plus_buffer,6.1
3009,food_fastfood_dist_closest_3_popwt,0.5
3009,food_fastfood_pct_within_15_mins,1
3009,food_grocery_num_region_plus_buffer,4
3009,food_grocery_num_per_1000_res_plus_buffer,0.66
3009,food_grocery_dist_closest_3_popwt,0.92
3009,food_grocery_pct_within_15_mins,0.97
3009,food_resto_num_region_plus_buffer,13
3009,food_resto_num_per_1000_res_plus_buffer,2.14
3009,food_resto_dist_closest_3_popwt,0.59
3009,food_resto_pct_within_15_mins,1
3009,food_specialty_num_region_plus_buffer,8
3009,food_specialty_num_per_1000_res_plus_buffer,1.32
3009,food_specialty_dist_closest_3_popwt,0.69
3009,food_specialty_pct_within_15_mins,1
3009,num_people_attached,4456
3009,num_people_uncertainly_attached,1220
3009,total_population_attachment,5676
3009,percent_attached,78.5
3009,percent_uncertaintly_attached,21.5
3009,crime_person_total,86
3009,crime_property_total,294
3009,crime_other_total,24
3009,crime_total,404
3009,crime_person_total_per_1000pop_plus_50m_buffer,19.46
3009,crime_property_total_per_1000pop_plus_50m_buffer,91.34
3009,crime_other_total_per_1000pop_plus_50m_buffer,6.76
3009,crime_total_per_1000pop_plus_50m_buffer,117.56
3009,walkscore_mean,57.27
3009,walkscore_sd,14.05
3009,bikescore_mean,85.45
3009,bikescore_sd,7.25
3009,Deciles,10
3009,Quintiles,5
3010,food_convenience_num_region_plus_buffer,2
3010,food_convenience_num_per_1000_res_plus_buffer,0.24
3010,food_convenience_dist_closest_3_popwt,1.54
3010,food_convenience_pct_within_15_mins,0.93
3010,food_fastfood_num_region_plus_buffer,5
3010,food_fastfood_num_per_1000_res_plus_buffer,0.61
3010,food_fastfood_dist_closest_3_popwt,0.77
3010,food_fastfood_pct_within_15_mins,0.94
3010,food_grocery_num_region_plus_buffer,1
3010,food_grocery_num_per_1000_res_plus_buffer,0.12
3010,food_grocery_dist_closest_3_popwt,3.17
3010,food_grocery_pct_within_15_mins,0.84
3010,food_resto_num_region_plus_buffer,2
3010,food_resto_num_per_1000_res_plus_buffer,0.24
3010,food_resto_dist_closest_3_popwt,1.65
3010,food_resto_pct_within_15_mins,0.94
3010,food_specialty_num_region_plus_buffer,1
3010,food_specialty_num_per_1000_res_plus_buffer,0.12
3010,food_specialty_dist_closest_3_popwt,2.68
3010,food_specialty_pct_within_15_mins,0.84
3010,num_people_attached,6568
3010,num_people_uncertainly_attached,790
3010,total_population_attachment,7358
3010,percent_attached,89.3
3010,percent_uncertaintly_attached,10.7
3010,crime_person_total,38
3010,crime_property_total,121
3010,crime_other_total,8
3010,crime_total,167
3010,crime_person_total_per_1000pop_plus_50m_buffer,8.72
3010,crime_property_total_per_1000pop_plus_50m_buffer,15.51
3010,crime_other_total_per_1000pop_plus_50m_buffer,6.42
3010,crime_total_per_1000pop_plus_50m_buffer,30.65
3010,walkscore_mean,33.32
3010,walkscore_sd,7.18
3010,bikescore_mean,51.35
3010,bikescore_sd,7.04
3010,Deciles,7
3010,Quintiles,4
3011,food_convenience_num_region_plus_buffer,6
3011,food_convenience_num_per_1000_res_plus_buffer,0.66
3011,food_convenience_dist_closest_3_popwt,1.07
3011,food_convenience_pct_within_15_mins,1
3011,food_fastfood_num_region_plus_buffer,7
3011,food_fastfood_num_per_1000_res_plus_buffer,0.77
3011,food_fastfood_dist_closest_3_popwt,0.85
3011,food_fastfood_pct_within_15_mins,0.98
3011,food_grocery_num_region_plus_buffer,2
3011,food_grocery_num_per_1000_res_plus_buffer,0.22
3011,food_grocery_dist_closest_3_popwt,1.53
3011,food_grocery_pct_within_15_mins,0.87
3011,food_resto_num_region_plus_buffer,3
3011,food_resto_num_per_1000_res_plus_buffer,0.33
3011,food_resto_dist_closest_3_popwt,1.25
3011,food_resto_pct_within_15_mins,0.95
3011,food_specialty_num_region_plus_buffer,1
3011,food_specialty_num_per_1000_res_plus_buffer,0.11
3011,food_specialty_dist_closest_3_popwt,1.77
3011,food_specialty_pct_within_15_mins,0.3
3011,num_people_attached,8253
3011,num_people_uncertainly_attached,1489
3011,total_population_attachment,9742
3011,percent_attached,84.7
3011,percent_uncertaintly_attached,15.3
3011,crime_person_total,43
3011,crime_property_total,109
3011,crime_other_total,10
3011,crime_total,162
3011,crime_person_total_per_1000pop_plus_50m_buffer,5.48
3011,crime_property_total_per_1000pop_plus_50m_buffer,18.84
3011,crime_other_total_per_1000pop_plus_50m_buffer,1.53
3011,crime_total_per_1000pop_plus_50m_buffer,25.85
3011,walkscore_mean,49.8
3011,walkscore_sd,12.78
3011,bikescore_mean,65.26
3011,bikescore_sd,10.32
3011,Deciles,7
3011,Quintiles,4
3012,food_convenience_num_region_plus_buffer,3
3012,food_convenience_num_per_1000_res_plus_buffer,0.35
3012,food_convenience_dist_closest_3_popwt,1.05
3012,food_convenience_pct_within_15_mins,0.98
3012,food_fastfood_num_region_plus_buffer,10
3012,food_fastfood_num_per_1000_res_plus_buffer,1.17
3012,food_fastfood_dist_closest_3_popwt,0.78
3012,food_fastfood_pct_within_15_mins,0.98
3012,food_grocery_num_region_plus_buffer,2
3012,food_grocery_num_per_1000_res_plus_buffer,0.23
3012,food_grocery_dist_closest_3_popwt,1.15
3012,food_grocery_pct_within_15_mins,0.71
3012,food_resto_num_region_plus_buffer,5
3012,food_resto_num_per_1000_res_plus_buffer,0.58
3012,food_resto_dist_closest_3_popwt,0.95
3012,food_resto_pct_within_15_mins,0.76
3012,food_specialty_num_region_plus_buffer,1
3012,food_specialty_num_per_1000_res_plus_buffer,0.12
3012,food_specialty_dist_closest_3_popwt,1.31
3012,food_specialty_pct_within_15_mins,0.47
3012,num_people_attached,6935
3012,num_people_uncertainly_attached,1215
3012,total_population_attachment,8150
3012,percent_attached,85.1
3012,percent_uncertaintly_attached,14.9
3012,crime_person_total,34
3012,crime_property_total,94
3012,crime_other_total,10
3012,crime_total,138
3012,crime_person_total_per_1000pop_plus_50m_buffer,8.77
3012,crime_property_total_per_1000pop_plus_50m_buffer,25.61
3012,crime_other_total_per_1000pop_plus_50m_buffer,1.64
3012,crime_total_per_1000pop_plus_50m_buffer,36.02
3012,walkscore_mean,26.23
3012,walkscore_sd,9.33
3012,bikescore_mean,70.01
3012,bikescore_sd,13.44
3012,Deciles,6
3012,Quintiles,3
3013,food_convenience_num_region_plus_buffer,2
3013,food_convenience_num_per_1000_res_plus_buffer,0.22
3013,food_convenience_dist_closest_3_popwt,1.09
3013,food_convenience_pct_within_15_mins,0.99
3013,food_fastfood_num_region_plus_buffer,5
3013,food_fastfood_num_per_1000_res_plus_buffer,0.55
3013,food_fastfood_dist_closest_3_popwt,0.75
3013,food_fastfood_pct_within_15_mins,0.98
3013,food_grocery_num_region_plus_buffer,0
3013,food_grocery_num_per_1000_res_plus_buffer,0
3013,food_grocery_dist_closest_3_popwt,1.46
3013,food_grocery_pct_within_15_mins,0.72
3013,food_resto_num_region_plus_buffer,2
3013,food_resto_num_per_1000_res_plus_buffer,0.22
3013,food_resto_dist_closest_3_popwt,0.93
3013,food_resto_pct_within_15_mins,0.87
3013,food_specialty_num_region_plus_buffer,0
3013,food_specialty_num_per_1000_res_plus_buffer,0
3013,food_specialty_dist_closest_3_popwt,1.27
3013,food_specialty_pct_within_15_mins,0.58
3013,num_people_attached,7426
3013,num_people_uncertainly_attached,1543
3013,total_population_attachment,8969
3013,percent_attached,82.8
3013,percent_uncertaintly_attached,17.2
3013,crime_person_total,36
3013,crime_property_total,683
3013,crime_other_total,13
3013,crime_total,732
3013,crime_person_total_per_1000pop_plus_50m_buffer,5.17
3013,crime_property_total_per_1000pop_plus_50m_buffer,81.34
3013,crime_other_total_per_1000pop_plus_50m_buffer,1.65
3013,crime_total_per_1000pop_plus_50m_buffer,88.17
3013,walkscore_mean,24.41
3013,walkscore_sd,11.71
3013,bikescore_mean,79.15
3013,bikescore_sd,6.85
3013,Deciles,7
3013,Quintiles,4
3014,food_convenience_num_region_plus_buffer,3
3014,food_convenience_num_per_1000_res_plus_buffer,0.12
3014,food_convenience_dist_closest_3_popwt,1.54
3014,food_convenience_pct_within_15_mins,0.9
3014,food_fastfood_num_region_plus_buffer,7
3014,food_fastfood_num_per_1000_res_plus_buffer,0.27
3014,food_fastfood_dist_closest_3_popwt,1.34
3014,food_fastfood_pct_within_15_mins,0.81
3014,food_grocery_num_region_plus_buffer,2
3014,food_grocery_num_per_1000_res_plus_buffer,0.08
3014,food_grocery_dist_closest_3_popwt,1.72
3014,food_grocery_pct_within_15_mins,0.49
3014,food_resto_num_region_plus_buffer,5
3014,food_resto_num_per_1000_res_plus_buffer,0.19
3014,food_resto_dist_closest_3_popwt,1.33
3014,food_resto_pct_within_15_mins,0.53
3014,food_specialty_num_region_plus_buffer,0
3014,food_specialty_num_per_1000_res_plus_buffer,0
3014,food_specialty_dist_closest_3_popwt,2.77
3014,food_specialty_pct_within_15_mins,0.04
3014,num_people_attached,24207
3014,num_people_uncertainly_attached,3557
3014,total_population_attachment,27764
3014,percent_attached,87.2
3014,percent_uncertaintly_attached,12.8
3014,crime_person_total,72
3014,crime_property_total,203
3014,crime_other_total,17
3014,crime_total,292
3014,crime_person_total_per_1000pop_plus_50m_buffer,2.94
3014,crime_property_total_per_1000pop_plus_50m_buffer,7.98
3014,crime_other_total_per_1000pop_plus_50m_buffer,0.7
3014,crime_total_per_1000pop_plus_50m_buffer,11.62
3014,walkscore_mean,18.45
3014,walkscore_sd,7.74
3014,bikescore_mean,60.3
3014,bikescore_sd,14.52
3014,Deciles,3
3014,Quintiles,2
3015,food_convenience_num_region_plus_buffer,10
3015,food_convenience_num_per_1000_res_plus_buffer,1.17
3015,food_convenience_dist_closest_3_popwt,0.67
3015,food_convenience_pct_within_15_mins,1
3015,food_fastfood_num_region_plus_buffer,18
3015,food_fastfood_num_per_1000_res_plus_buffer,2.1
3015,food_fastfood_dist_closest_3_popwt,0.43
3015,food_fastfood_pct_within_15_mins,1
3015,food_grocery_num_region_plus_buffer,2
3015,food_grocery_num_per_1000_res_plus_buffer,0.23
3015,food_grocery_dist_closest_3_popwt,1.15
3015,food_grocery_pct_within_15_mins,0.9
3015,food_resto_num_region_plus_buffer,9
3015,food_resto_num_per_1000_res_plus_buffer,1.05
3015,food_resto_dist_closest_3_popwt,0.63
3015,food_resto_pct_within_15_mins,1
3015,food_specialty_num_region_plus_buffer,5
3015,food_specialty_num_per_1000_res_plus_buffer,0.58
3015,food_specialty_dist_closest_3_popwt,0.69
3015,food_specialty_pct_within_15_mins,1
3015,num_people_attached,7892
3015,num_people_uncertainly_attached,1893
3015,total_population_attachment,9785
3015,percent_attached,80.7
3015,percent_uncertaintly_attached,19.3
3015,crime_person_total,104
3015,crime_property_total,261
3015,crime_other_total,32
3015,crime_total,397
3015,crime_person_total_per_1000pop_plus_50m_buffer,15.05
3015,crime_property_total_per_1000pop_plus_50m_buffer,35.71
3015,crime_other_total_per_1000pop_plus_50m_buffer,4.32
3015,crime_total_per_1000pop_plus_50m_buffer,55.08
3015,walkscore_mean,27.77
3015,walkscore_sd,10.76
3015,bikescore_mean,84.47
3015,bikescore_sd,7.17
3015,Deciles,10
3015,Quintiles,5
3016,food_convenience_num_region_plus_buffer,5
3016,food_convenience_num_per_1000_res_plus_buffer,0.32
3016,food_convenience_dist_closest_3_popwt,1.35
3016,food_convenience_pct_within_15_mins,0.56
3016,food_fastfood_num_region_plus_buffer,22
3016,food_fastfood_num_per_1000_res_plus_buffer,1.42
3016,food_fastfood_dist_closest_3_popwt,0.88
3016,food_fastfood_pct_within_15_mins,0.94
3016,food_grocery_num_region_plus_buffer,2
3016,food_grocery_num_per_1000_res_plus_buffer,0.13
3016,food_grocery_dist_closest_3_popwt,3.39
3016,food_grocery_pct_within_15_mins,0.5
3016,food_resto_num_region_plus_buffer,22
3016,food_resto_num_per_1000_res_plus_buffer,1.42
3016,food_resto_dist_closest_3_popwt,0.87
3016,food_resto_pct_within_15_mins,0.96
3016,food_specialty_num_region_plus_buffer,3
3016,food_specialty_num_per_1000_res_plus_buffer,0.19
3016,food_specialty_dist_closest_3_popwt,2.8
3016,food_specialty_pct_within_15_mins,0.37
3016,num_people_attached,14867
3016,num_people_uncertainly_attached,2460
3016,total_population_attachment,17327
3016,percent_attached,85.8
3016,percent_uncertaintly_attached,14.2
3016,crime_person_total,58
3016,crime_property_total,220
3016,crime_other_total,13
3016,crime_total,291
3016,crime_person_total_per_1000pop_plus_50m_buffer,3.74
3016,crime_property_total_per_1000pop_plus_50m_buffer,14.3
3016,crime_other_total_per_1000pop_plus_50m_buffer,0.9
3016,crime_total_per_1000pop_plus_50m_buffer,18.94
3016,walkscore_mean,19.53
3016,walkscore_sd,9.77
3016,bikescore_mean,66.58
3016,bikescore_sd,11.32
3016,Deciles,3
3016,Quintiles,2
3017,food_convenience_num_region_plus_buffer,2
3017,food_convenience_num_per_1000_res_plus_buffer,0.15
3017,food_convenience_dist_closest_3_popwt,1.98
