variables,secondhalfname,Data_ID,Numerator,Denominator,pop1,pop2,Type1,Type2,Category1,Category 2
Average market income in 2019 among recipients ($),Average market income in 2019 among recipients ($),average_market_income_in_2019_among_recipients,146,ONE,indiv,residents,Average,Dollar,Income,individual market income
% of income from government transfers (2019),% of income from government transfers (2019),percent_of_income_from_government_transfers_2019,159,ONE,indiv,income,Percentage 1,percent_pop,Income,Government transfers
% of income from government transfers (2020),% of income from government transfers (2020),percent_of_income_from_government_transfers_2020,84,ONE,indiv,income,Percentage 1,percent_pop,Income,Government transfers
% of pop age 25-64 with postsecondary degree/diploma/certificate,% of pop age 25-64 with postsecondary degree/diploma/certificate,percent_of_pop_age_25_64_with_postsecondary_degree_diploma_certificate,2064,2061,indiv,residents aged 25-64,Percentage 2,percent_pop,Education,Education
# of refugees,refugees,number_of_refugees,1630,ONE,indiv,residents,Number,count,Immigration,Immigration
% of households living in core housing need,in core housing need,percent_of_households_living_in_core_housing_need,363,362,households,households,Percentage 2,percent_pop,Housing,Core housing need
# of households living in core housing need,in core housing need,number_of_households_living_in_core_housing_need,363,ONE,households,households,Number,percent_pop,Housing,Core housing need
% of owner households in core housing need,in core housing need,percent_of_owner_households_in_core_housing_need,368,ONE,households,owner households,Percentage 1,percent_pop,Housing,Core housing need
% of renter households in core housing need,in core housing need,percent_of_renter_households_in_core_housing_need,376,ONE,households,renter households,Percentage 1,percent_pop,Housing,Core housing need
% of owner households,owner households,percent_of_owner_households,298,297,households,households,Percentage 2,percent_pop,Housing,Tenure
# of owner households,owner households,number_of_owner_households,298,ONE,households,households,Number,Count,Housing,Tenure
# of renter households,renter households,number_of_renter_households,299,ONE,households,households,Number,Count,Housing,Tenure
# of people in low-income based on LIM-AT,in low-income based on LIM-AT,number_of_people_in_low_income_based_on_lim_at,171,ONE,indiv,residents,Number,count,Income,LIM-AT
% of people in low income based on LIM-AT,in low-income based on LIM-AT,percent_of_people_in_low_income_based_on_lim_at,171,166,indiv,residents,Percentage 2,percent_pop,Income,LIM-AT
# of people 0-17 in low income based on LIM-AT,in low-income based on LIM-AT,number_of_people_0_17_in_low_income_based_on_lim_at,172,ONE,indiv,children_0_17,Number,count,Income,LIM-AT
% of people 0-17 in low income based on LIM-AT,in low-income based on LIM-AT,percent_of_people_0_17_in_low_income_based_on_lim_at,172,167,indiv,children_0_17,Percentage 2,percent_pop,Income,LIM-AT
# of people 18-64 in low income based on LIM-AT,in low-income based on LIM-AT,number_of_people_18_64_in_low_income_based_on_lim_at,174,ONE,indiv,adults_18_64,Number,count,Income,LIM-AT
% of people 18-64 in low income based on LIM-AT,in low-income based on LIM-AT,percent_of_people_18_64_in_low_income_based_on_lim_at,174,169,indiv,adults_18_64,Percentage 2,percent_pop,Income,LIM-AT
# of people 65+ in low-income based on LIM-AT,in low-income based on LIM-AT,number_of_people_65_in_low_income_based_on_lim_at,175,ONE,indiv,seniors_65,Number,count,Income,LIM-AT
% of people 65+ in low-income based on LIM-AT,in low-income based on LIM-AT,percent_of_people_65_in_low_income_based_on_lim_at,175,170,indiv,seniors_65,Percentage 2,percent_pop,Income,LIM-AT
# living alone,living alone,number_living_alone,42,ONE,households,households,Number,count,Family,Family composition
# of one-parent families,one-parent families,number_of_one_parent_families,397,ONE,households,census families,Number,count,Family,Family composition
Average after-tax income of one-parent economic families,Average after-tax income of one-parent economic families,average_after_tax_income_of_one_parent_economic_families,423,ONE,households,one-parent families,Average,Dollar,Income,family after-tax income
Average after-tax income of all economic families,Average after-tax income of all economic families,average_after_tax_income_of_all_economic_families,405,ONE,households,families,Average,Dollar,Income,family after-tax income
Average after-tax income of couple-with-children economic families,Average after-tax income of couple-with-children economic families,average_after_tax_income_of_couple_with_children_economic_families,416,ONE,households,couple-with-children families,Average,Dollar,Income,family after-tax income
Average age of the population,Average age of the population,average_age_of_the_population,32,ONE,indiv,residents,Average,Age,Demographics,Age
Median age of the population,Median age of the population,median_age_of_the_population,33,ONE,indiv,residents,Average,Age,Demographics,Age
# of seniors 65+,seniors aged 65+,number_of_seniors_65,17,ONE,indiv,residents,Number,count,Demographics,Age
# of children living in one-parent families,children living in one-parent families,number_of_children_living_in_one_parent_families,40,ONE,indiv,children,Number,count,Family,Isolation
% of children living in one-parent families,children living in one-parent families,percent_of_children_living_in_one_parent_families,40,38,indiv,children,Percentage 2,percent_pop,Family,Isolation
# of people who are Indigenous,Indigenous,number_of_people_who_are_indigenous,1445,ONE,indiv,residents,Number,count,Indigenous,Indigenous
# of people who are FN,First Nations,number_of_people_who_are_fn,1447,ONE,indiv,residents,Number,count,Indigenous,Indigenous
# of people who are Metis,Metis,number_of_people_who_are_metis,1448,ONE,indiv,residents,Number,count,Indigenous,Indigenous
# of people who are Inuit,Inuit,number_of_people_who_are_inuit,1449,ONE,indiv,residents,Number,count,Indigenous,Indigenous
# of immigrants,immigrants,number_of_immigrants,1485,ONE,indiv,residents,Number,count,Immigration,Immigration
# of recent immigrants (arr. 2016-2021),recent immigrants (arr. 2016-2021),number_of_recent_immigrants_arr_2016_2021,1492,ONE,indiv,residents,Number,count,Immigration,Immigration
Average household size,Average household size,average_household_size,229,ONE,households,households,Average,count,Family,Family composition
Average number of children in census families with children,Average number of children in census families with children,average_number_of_children_in_census_families_with_children,400,ONE,households,census families with children,Average,count,Family,Family composition
# of people with knowledge of neither English nor French,people with knowledge of neither English nor French,number_of_people_with_knowledge_of_neither_english_nor_french,429,ONE,indiv,residents,Number,count,Language,Knowledge of official languages
# of people with French as a language most spoken at home,people with French as a language most spoken at home,number_of_people_with_french_as_a_language_most_spoken_at_home,781+1103+1105+1106,ONE,indiv,residents,Number,count,Language,Knowledge of official languages
% of people with French as a language most spoken at home,people with French as a language most spoken at home,percent_of_people_with_french_as_a_language_most_spoken_at_home,781+1103+1105+1106,777,indiv,residents,Percentage 2,percent_pop,Language,Knowledge of official languages
# of people with knowledge of only French as an official language,people with knowledge of only French as an official language,number_of_people_with_knowledge_of_only_french_as_an_official_language,427,ONE,indiv,residents,Number,count,Language,Knowledge of official languages
% of people with knowledge of only French as an official language,people with knowledge of only French as an official language,percent_of_people_with_knowledge_of_only_french_as_an_official_language,427,425,indiv,residents,Percentage 2,percent_pop,Language,Knowledge of official languages
Average size of census families,Average size of census families,average_size_of_census_families,388,ONE,households,census families,Average,count,Family comp,Family composition
"# of workers age 15+ who commute by car, truck, or van","workers who commute by car, truck, or van",number_of_workers_age_15_who_commute_by_car_truck_or_van,2574,ONE,indiv,workforce,Number,count,Labour force,Commute
"% of workers age 15+ who commute by car, truck, or van","workers who commute by car, truck, or van",percent_of_workers_age_15_who_commute_by_car_truck_or_van,2574,2573,indiv,workforce,Percentage 2,percent_pop,Labour force,Commute
# of workers age 15+ who commute by public transit,workers who commute by public transit,number_of_workers_age_15_who_commute_by_public_transit,2577,ONE,indiv,workforce,Number,count,Labour force,Commute
% of workers age 15+ who commute by public transit,workers who commute by public transit,percent_of_workers_age_15_who_commute_by_public_transit,2577,2573,indiv,workforce,Percentage 2,percent_pop,Labour force,Commute
# of workers age 15+ who commute by walking,workers who commute by walking,number_of_workers_age_15_who_commute_by_walking,2578,ONE,indiv,workforce,Number,count,Labour force,Commute
% of workers age 15+ who commute by walking,workers who commute by walking,percent_of_workers_age_15_who_commute_by_walking,2578,2573,indiv,workforce,Percentage 2,percent_pop,Labour force,Commute
# of workers age 15+ who commute by bicycle,workers who commute by bicycle,number_of_workers_age_15_who_commute_by_bicycle,2579,ONE,indiv,workforce,Number,count,Labour force,Commute
% of workers age 15+ who commute by bicycle,workers who commute by bicycle,percent_of_workers_age_15_who_commute_by_bicycle,2579,2573,indiv,workforce,Percentage 2,percent_pop,Labour force,Commute
# of workers age 15+ who commute by other means,workers who commute by other means,number_of_workers_age_15_who_commute_by_other_means,2580,ONE,indiv,workforce,Number,count,Labour force,Commute
% of workers age 15+ who commute by other means,workers who commute by other means,percent_of_workers_age_15_who_commute_by_other_means,2580,2573,indiv,workforce,Percentage 2,percent_pop,Labour force,Commute
# of workers age 15+ who work at home,workers who work from home,number_of_workers_age_15_who_work_at_home,2564,ONE,indiv,workforce,Number,count,Labour force,Work location
% of workers age 15+ who work at home,workers who work from home,percent_of_workers_age_15_who_work_at_home,2564,2563,indiv,workforce,Percentage 2,percent_pop,Labour force,Work location
# of workers age 15+ who have no fixed workplace address,workers with no fixed workplace address,number_of_workers_age_15_who_have_no_fixed_workplace_address,2566,ONE,indiv,workforce,Number,count,Labour force,Work location
% of workers age 15+ who have no fixed workplace address,workers with no fixed workplace address,percent_of_workers_age_15_who_have_no_fixed_workplace_address,2566,2563,indiv,workforce,Percentage 2,percent_pop,Labour force,Work location
Average monthly shelter costs for rented dwellings ($),Average monthly shelter costs for rented dwellings ($),average_monthly_shelter_costs_for_rented_dwellings,378,ONE,households,renter households,Average,Dollar,Housing,Shelter costs
Median monthly shelter costs for rented dwellings ($),Median monthly shelter costs for rented dwellings ($),median_monthly_shelter_costs_for_rented_dwellings,377,ONE,households,renter households,Average,Dollar,Housing,Shelter costs
Average monthly shelter costs for owned dwellings ($),Average monthly shelter costs for owned dwellings ($),average_monthly_shelter_costs_for_owned_dwellings,370,ONE,households,owner households,Average,Dollar,Housing,Shelter costs
Median monthly shelter costs for owned dwellings ($),Median monthly shelter costs for owned dwellings ($),median_monthly_shelter_costs_for_owned_dwellings,369,ONE,households,owner households,Average,Dollar,Housing,Shelter costs
% of people age 25-64 with a high school diploma,people who have a high school diploma,percent_of_people_age_25_64_with_a_high_school_diploma,2060,2058,indiv,residents aged 25-64,Percentage 2,percent_pop,Education,Attainment
% of workers who commute for 60 minutes and over,workers who commute for 60 minutes and over,percent_of_workers_who_commute_for_60_minutes_and_over,2586,2581,indiv,workforce,Percentage 2,percent_pop,Commuting,Commute
# of people who are racialized,racialized,number_of_people_who_are_racialized,1640,ONE,indiv,residents,Number,count,Demographics,Race
# self-identified as South Asian,South Asian,number_self_identified_as_south_asian,1641,ONE,indiv,residents,Number,count,Demographics,Race
# self-identified as Chinese,Chinese,number_self_identified_as_chinese,1642,ONE,indiv,residents,Number,count,Demographics,Race
# self-identified as Black,Black,number_self_identified_as_black,1643,ONE,indiv,residents,Number,count,Demographics,Race
# self-identified as Filipino,Filipino,number_self_identified_as_filipino,1644,ONE,indiv,residents,Number,count,Demographics,Race
# self-identified as Arab,Arab,number_self_identified_as_arab,1645,ONE,indiv,residents,Number,count,Demographics,Race
# self-identified as Latin American,Latin American,number_self_identified_as_latin_american,1646,ONE,indiv,residents,Number,count,Demographics,Race
# self-identified as Southeast Asian,Southeast Asian,number_self_identified_as_southeast_asian,1647,ONE,indiv,residents,Number,count,Demographics,Race
# self-identified as West Asian,West Asian,number_self_identified_as_west_asian,1648,ONE,indiv,residents,Number,count,Demographics,Race
# self-identified as Korean,Korean,number_self_identified_as_korean,1649,ONE,indiv,residents,Number,count,Demographics,Race
# self-identified as  Japanese,Japanese,number_self_identified_as_japanese,1650,ONE,indiv,residents,Number,count,Demographics,Race
# self-identified with 'other' visible minority,other' visible minority,number_self_identified_with_other_visible_minority,1651,ONE,indiv,residents,Number,count,Demographics,Race
# self-identified with multiple visible minorities,multiple' visible minorities,number_self_identified_with_multiple_visible_minorities,1652,ONE,indiv,residents,Number,count,Demographics,Race
# of people who are non-racialized,non-racialized,number_of_people_who_are_non_racialized,1653,ONE,indiv,residents,Number,count,Demographics,Race
% self-identified as South Asian,South Asian,percent_self_identified_as_south_asian,1641,1639,indiv,residents,Percentage 2,percent_pop,Demographics,Race
% self-identified as Chinese,Chinese,percent_self_identified_as_chinese,1642,1639,indiv,residents,Percentage 2,percent_pop,Demographics,Race
% self-identified as Black,Black,percent_self_identified_as_black,1643,1639,indiv,residents,Percentage 2,percent_pop,Demographics,Race
% self-identified as Filipino,Filipino,percent_self_identified_as_filipino,1644,1639,indiv,residents,Percentage 2,percent_pop,Demographics,Race
% self-identified as Arab,Arab,percent_self_identified_as_arab,1645,1639,indiv,residents,Percentage 2,percent_pop,Demographics,Race
% self-identified as Latin American,Latin American,percent_self_identified_as_latin_american,1646,1639,indiv,residents,Percentage 2,percent_pop,Demographics,Race
% self-identified as Southeast Asian,Southeast Asian,percent_self_identified_as_southeast_asian,1647,1639,indiv,residents,Percentage 2,percent_pop,Demographics,Race
% self-identified as West Asian,West Asian,percent_self_identified_as_west_asian,1648,1639,indiv,residents,Percentage 2,percent_pop,Demographics,Race
% self-identified as Korean,Korean,percent_self_identified_as_korean,1649,1639,indiv,residents,Percentage 2,percent_pop,Demographics,Race
% self-identified as  Japanese,Japanese,percent_self_identified_as_japanese,1650,1639,indiv,residents,Percentage 2,percent_pop,Demographics,Race
% self-identified with 'other' visible minority,other' visible minority,percent_self_identified_with_other_visible_minority,1651,1639,indiv,residents,Percentage 2,percent_pop,Demographics,Race
% self-identified with multiple visible minorities,multiple' visible minorities,percent_self_identified_with_multiple_visible_minorities,1652,1639,indiv,residents,Percentage 2,percent_pop,Demographics,Race
% of people who are non-racialized,non-racialized,percent_of_people_who_are_non_racialized,1653,1639,indiv,residents,Percentage 2,percent_pop,Demographics,Race
"# households 2020 AT income under $10,000","# households 2020 AT income under $10,000",number_households_2020_at_income_under_10_000,278+279,ONE,households,households,Number,count,Income,Household income bracket
"# households 2020 AT income $10,000-$19,999","# households 2020 AT income $10,000-$19,999",number_households_2020_at_income_10_000_19_999,280+281,ONE,households,households,Number,count,Income,Household income bracket
"# households 2020 AT income $20,000 to $29,999","# households 2020 AT income $20,000 to $29,999",number_households_2020_at_income_20_000_to_29_999,282+283,ONE,households,households,Number,count,Income,Household income bracket
"# households 2020 AT income $30,000 to $39,999","# households 2020 AT income $30,000 to $39,999",number_households_2020_at_income_30_000_to_39_999,284+285,ONE,households,households,Number,count,Income,Household income bracket
"# households 2020 AT income $40,000 to $49,999","# households 2020 AT income $40,000 to $49,999",number_households_2020_at_income_40_000_to_49_999,286+287,ONE,households,households,Number,count,Income,Household income bracket
"# households 2020 AT income $50,000 to $59,999","# households 2020 AT income $50,000 to $59,999",number_households_2020_at_income_50_000_to_59_999,288,ONE,households,households,Number,count,Income,Household income bracket
"# households 2020 AT income $60,000 to $69,999","# households 2020 AT income $60,000 to $69,999",number_households_2020_at_income_60_000_to_69_999,289,ONE,households,households,Number,count,Income,Household income bracket
"# households 2020 AT income $70,000 to $79,999","# households 2020 AT income $70,000 to $79,999",number_households_2020_at_income_70_000_to_79_999,290,ONE,households,households,Number,count,Income,Household income bracket
"# households 2020 AT income $80,000 to $89,999","# households 2020 AT income $80,000 to $89,999",number_households_2020_at_income_80_000_to_89_999,291,ONE,households,households,Number,count,Income,Household income bracket
"# households 2020 AT income $90,000 to $99,999","# households 2020 AT income $90,000 to $99,999",number_households_2020_at_income_90_000_to_99_999,292,ONE,households,households,Number,count,Income,Household income bracket
"# households 2020 AT income $100,000 to $124,999","# households 2020 AT income $100,000 to $124,999",number_households_2020_at_income_100_000_to_124_999,294,ONE,households,households,Number,count,Income,Household income bracket
"# households 2020 AT income $125,000 to $149,999","# households 2020 AT income $125,000 to $149,999",number_households_2020_at_income_125_000_to_149_999,295,ONE,households,households,Number,count,Income,Household income bracket
"# households 2020 AT income $150,000 and over","# households 2020 AT income $150,000 and over",number_households_2020_at_income_150_000_and_over,296,ONE,households,households,Number,count,Income,Household income bracket
"% households 2020 AT income under $10,000","% households 2020 AT income under $10,000",percent_households_2020_at_income_under_10_000,278+279,277,households,households,Percentage 2,percent_pop,Income,Household income bracket
"% households 2020 AT income $10,000-$19,999","% households 2020 AT income $10,000-$19,999",percent_households_2020_at_income_10_000_19_999,280+281,277,households,households,Percentage 2,percent_pop,Income,Household income bracket
"% households 2020 AT income $20,000 to $29,999","% households 2020 AT income $20,000 to $29,999",percent_households_2020_at_income_20_000_to_29_999,282+283,277,households,households,Percentage 2,percent_pop,Income,Household income bracket
"% households 2020 AT income $30,000 to $39,999","% households 2020 AT income $30,000 to $39,999",percent_households_2020_at_income_30_000_to_39_999,284+285,277,households,households,Percentage 2,percent_pop,Income,Household income bracket
"% households 2020 AT income $40,000 to $49,999","% households 2020 AT income $40,000 to $49,999",percent_households_2020_at_income_40_000_to_49_999,286+287,277,households,households,Percentage 2,percent_pop,Income,Household income bracket
"% households 2020 AT income $50,000 to $59,999","% households 2020 AT income $50,000 to $59,999",percent_households_2020_at_income_50_000_to_59_999,288,277,households,households,Percentage 2,percent_pop,Income,Household income bracket
"% households 2020 AT income $60,000 to $69,999","% households 2020 AT income $60,000 to $69,999",percent_households_2020_at_income_60_000_to_69_999,289,277,households,households,Percentage 2,percent_pop,Income,Household income bracket
"% households 2020 AT income $70,000 to $79,999","% households 2020 AT income $70,000 to $79,999",percent_households_2020_at_income_70_000_to_79_999,290,277,households,households,Percentage 2,percent_pop,Income,Household income bracket
"% households 2020 AT income $80,000 to $89,999","% households 2020 AT income $80,000 to $89,999",percent_households_2020_at_income_80_000_to_89_999,291,277,households,households,Percentage 2,percent_pop,Income,Household income bracket
"% households 2020 AT income $90,000 to $99,999","% households 2020 AT income $90,000 to $99,999",percent_households_2020_at_income_90_000_to_99_999,292,277,households,households,Percentage 2,percent_pop,Income,Household income bracket
"% households 2020 AT income $100,000 to $124,999","% households 2020 AT income $100,000 to $124,999",percent_households_2020_at_income_100_000_to_124_999,294,277,households,households,Percentage 2,percent_pop,Income,Household income bracket
"% households 2020 AT income $125,000 to $149,999","% households 2020 AT income $125,000 to $149,999",percent_households_2020_at_income_125_000_to_149_999,295,277,households,households,Percentage 2,percent_pop,Income,Household income bracket
"% households 2020 AT income $150,000 and over","% households 2020 AT income $150,000 and over",percent_households_2020_at_income_150_000_and_over,296,277,households,households,Percentage 2,percent_pop,Income,Household income bracket
# households 'not suitable' (overcrowded),not suitable' (overcrowded),number_households_not_suitable_overcrowded,322,ONE,households,households,Number,count,Housing,core housing need
% households 'not suitable' (overcrowded),not suitable' (overcrowded),percent_households_not_suitable_overcrowded,322,320,households,households,Percentage 2,percent_pop,Housing,core housing need
# households with major repairs needed,in need of major repairs,number_households_with_major_repairs_needed,334,ONE,households,households,Number,count,Housing,core housing need
% households with major repairs needed,in need of major repairs,percent_households_with_major_repairs_needed,334,332,households,households,Percentage 2,percent_pop,Housing,core housing need
# households spending 30% or more of its income on shelter costs,spending 30% or more of its income on shelter costs,census_general_number_households_spending_30_percent_or_more_of_its_income_on_shelter_costs,360,ONE,households,households,Number,count,Housing,core housing need
% households spending 30% or more of its income on shelter costs,spending 30% or more of its income on shelter costs,census_general_percent_households_spending_30_percent_or_more_of_its_income_on_shelter_costs,360,358,households,households,Percentage 2,percent_pop,Housing,core housing need
% of tenant households in subsidized housing,in subsidized housing,percent_of_tenant_households_in_subsidized_housing,374,ONE,households,renter households,Percentage 1,percent_pop,Housing,core housing need
% of tenant households spending 30% or more of its income on shelter costs,spending 30% or more of its income on shelter costs,percent_of_tenant_households_spending_30_percent_or_more_of_its_income_on_shelter_costs,375,ONE,households,renter households,Percentage 1,percent_pop,Housing,core housing need
% of owner households with a mortgage,households with a mortgage,percent_of_owner_households_with_a_mortgage,366,ONE,households,owner households,Percentage 1,percent_pop,Housing,core housing need
% of owner households spending 30% or more of its income on shelter costs,spending 30% or more of its income on shelter costs,percent_of_owner_households_spending_30_percent_or_more_of_its_income_on_shelter_costs,367,ONE,households,owner households,Percentage 1,percent_pop,Housing,core housing need
Median value of owned dwellings ($),value of owned dwellings ($),median_value_of_owned_dwellings,371,ONE,households,households,Number,Dollar,Housing,Shelter costs
Average value of owned dwellings ($),value of owned dwellings ($),average_value_of_owned_dwellings,372,ONE,households,households,Number,Dollar,Housing,Shelter costs
# of private dwellings,of private dwellings,number_of_private_dwellings,214,ONE,households,private dwellings,Number,count,Housing,private dwellings
# of private dwellings unaffordable only,private dwellings unaffordable only,number_private_dwellings_unaffordable_only,350,ONE,households,private dwellings,Number,count,Housing,core housing need
% of private dwellings unaffordable only,private dwellings unaffordable only,percent_private_dwellings_unaffordable_only,350,348,households,private dwellings,Percentage 2,percent_pop,Housing,core housing need
# of private dwellings unsuitable only,private dwellings unsuitable only,number_private_dwellings_unsuitable_only,351,ONE,households,private dwellings,Number,count,Housing,core housing need
% of private dwellings unsuitable only,private dwellings unsuitable only,percent_private_dwellings_unsuitable_only,351,348,households,private dwellings,Percentage 2,percent_pop,Housing,core housing need
# of private dwellings inadequate only,private dwellings inadequate only,number_private_dwellings_inadequate_only,352,ONE,households,private dwellings,Number,count,Housing,core housing need
% of private dwellings inadequate only,private dwellings inadequate only,percent_private_dwellings_inadequate_only,352,348,households,private dwellings,Percentage 2,percent_pop,Housing,core housing need
# of private dwellings unaffordable and unsuitable,private dwellings unaffordable and unsuitable,number_private_dwellings_unaffordable_unsuitable,353,ONE,households,private dwellings,Number,count,Housing,core housing need
% of private dwellings unaffordable and unsuitable,private dwellings unaffordable and unsuitable,percent_private_dwellings_unaffordable_unsuitable,353,348,households,private dwellings,Percentage 2,percent_pop,Housing,core housing need
# of private dwellings unaffordable and inadequate,private dwellings unaffordable and inadequate,number_private_dwellings_unaffordable_inadequate,354,ONE,households,private dwellings,Number,count,Housing,core housing need
% of private dwellings unaffordable and inadequate,private dwellings unaffordable and inadequate,percent_private_dwellings_unaffordable_inadequate,354,348,households,private dwellings,Percentage 2,percent_pop,Housing,core housing need
# of private dwellings unsuitable and inadequate,private dwellings unsuitable and inadequate,number_private_dwellings_unsuitable_inadequate,355,ONE,households,private dwellings,Number,count,Housing,core housing need
% of private dwellings unsuitable and inadequate,private dwellings unsuitable and inadequate,percent_private_dwellings_unsuitable_inadequate,355,348,households,private dwellings,Percentage 2,percent_pop,Housing,core housing need
"# of private dwellings unaffordable, unsuitable, and inadequate","private dwellings unaffordable, unsuitable, and inadequate",number_private_dwellings_unaffordable_unsuitable_inadequate,356,ONE,households,private dwellings,Number,count,Housing,core housing need
"% of private dwellings unaffordable, unsuitable, and inadequate","private dwellings unaffordable, unsuitable, and inadequate",percent_private_dwellings_unaffordable_unsuitable_inadequate,356,348,households,private dwellings,Percentage 2,percent_pop,Housing,core housing need
# of private dwellings that are acceptable housing,private dwellings that are acceptable housing,number_private_dwellings_acceptable_housing,357,ONE,households,private dwellings,Number,count,Housing,core housing need
% of private dwellings that are acceptable housing,private dwellings that are acceptable housing,percent_private_dwellings_acceptable_housing,357,348,households,private dwellings,Percentage 2,percent_pop,Housing,core housing need
# of single-detached houses,single-detached houses,number_of_single_detached_houses,215,ONE,households,private dwellings,Number,count,Housing,structure types
% of single-detached houses,single-detached houses,percent_of_single_detached_houses,215,214,households,private dwellings,Percentage 2,percent_pop,Housing,structure types
# of semi-detached houses,semi-detached houses,number_of_semi_detached_houses,216,ONE,households,private dwellings,Number,count,Housing,structure types
% of semi-detached houses,semi-detached houses,percent_of_semi_detached_houses,216,214,households,private dwellings,Percentage 2,percent_pop,Housing,structure types
# of row houses,row houses,number_of_row_houses,217,ONE,households,private dwellings,Number,count,Housing,structure types
% of row houses,row houses,percent_of_row_houses,217,214,households,private dwellings,Percentage 2,percent_pop,Housing,structure types
# of apartments or flats in a duplex,apartments or flats in a duplex,number_of_apartments_or_flats_in_a_duplex,218,ONE,households,private dwellings,Number,count,Housing,structure types
% of apartments or flats in a duplex,apartments or flats in a duplex,percent_of_apartments_or_flats_in_a_duplex,218,214,households,private dwellings,Percentage 2,percent_pop,Housing,structure types
# of apartments in a building fewer than five storeys,apartments in a building fewer than five storeys,number_of_apartments_in_a_building_fewer_than_five_storeys,219,ONE,households,private dwellings,Number,count,Housing,structure types
% of apartments in a building fewer than five storeys,apartments in a building fewer than five storeys,percent_of_apartments_in_a_building_fewer_than_five_storeys,219,214,households,private dwellings,Percentage 2,percent_pop,Housing,structure types
# of apartments in a building five or more storeys,apartments in a building five or more storeys,number_of_apartments_in_a_building_five_or_more_storeys,220,ONE,households,private dwellings,Number,count,Housing,structure types
