variables,secondhalfname,Data_ID,Numerator,Denominator,pop1,pop2,Type1,Type2,Category1,Category 2
# of commuters aged 15+ leaving for work between 5 a.m. and 5:59 a.m.,commuters aged 15+ leaving for work between 5 a.m. and 5:59 a.m.,number_of_commuters_aged_15_plus_leaving_for_work_5_559_am,2588,ONE,indiv,residents,Number,count,Labour force,Commute hours
# of commuters aged 15+ leaving for work between 6 a.m. and 6:59 a.m.,commuters aged 15+ leaving for work between 6 a.m. and 6:59 a.m.,number_of_commuters_aged_15_plus_leaving_for_work_6_659_am,2589,ONE,indiv,residents,Number,count,Labour force,Commute hours
# of commuters aged 15+ leaving for work between 7 a.m. and 7:59 a.m.,commuters aged 15+ leaving for work between 7 a.m. and 7:59 a.m.,number_of_commuters_aged_15_plus_leaving_for_work_7_759_am,2590,ONE,indiv,residents,Number,count,Labour force,Commute hours
# of commuters aged 15+ leaving for work between 8 a.m. and 8:59 a.m.,commuters aged 15+ leaving for work between 8 a.m. and 8:59 a.m.,number_of_commuters_aged_15_plus_leaving_for_work_8_859_am,2591,ONE,indiv,residents,Number,count,Labour force,Commute hours
# of commuters aged 15+ leaving for work between 9 a.m. and 11:59 a.m.,commuters aged 15+ leaving for work between 9 a.m. and 9:59 a.m.,number_of_commuters_aged_15_plus_leaving_for_work_9_1159_am,2592,ONE,indiv,residents,Number,count,Labour force,Commute hours
# of commuters aged 15+ leaving for work between 12 p.m. and 4:59 a.m.,commuters aged 15+ leaving for work between 5 a.m. and 5:59 a.m.,number_of_commuters_aged_15_plus_leaving_for_work_12_pm_459_am,2593,ONE,indiv,residents,Number,count,Labour force,Commute hours
% of commuters aged 15+ leaving for work between 5 a.m. and 5:59 a.m.,commuters aged 15+ leaving for work between 5 a.m. and 5:59 a.m.,percent_of_commuters_aged_15_plus_leaving_for_work_5_559_am,2588,2587,indiv,residents,Percentage 2,percent_pop,Labour force,Commute hours
% of commuters aged 15+ leaving for work between 6 a.m. and 6:59 a.m.,commuters aged 15+ leaving for work between 6 a.m. and 6:59 a.m.,percent_of_commuters_aged_15_plus_leaving_for_work_6_659_am,2589,2587,indiv,residents,Percentage 3,percent_pop,Labour force,Commute hours
% of commuters aged 15+ leaving for work between 7 a.m. and 7:59 a.m.,commuters aged 15+ leaving for work between 7 a.m. and 7:59 a.m.,percent_of_commuters_aged_15_plus_leaving_for_work_7_759_am,2590,2587,indiv,residents,Percentage 4,percent_pop,Labour force,Commute hours
% of commuters aged 15+ leaving for work between 8 a.m. and 8:59 a.m.,commuters aged 15+ leaving for work between 8 a.m. and 8:59 a.m.,percent_of_commuters_aged_15_plus_leaving_for_work_8_859_am,2591,2587,indiv,residents,Percentage 5,percent_pop,Labour force,Commute hours
% of commuters aged 15+ leaving for work between 9 a.m. and 11:59 a.m.,commuters aged 15+ leaving for work between 9 a.m. and 9:59 a.m.,percent_of_commuters_aged_15_plus_leaving_for_work_9_1159_am,2592,2587,indiv,residents,Percentage 6,percent_pop,Labour force,Commute hours
% of commuters aged 15+ leaving for work between 12 p.m. and 4:59 a.m.,commuters aged 15+ leaving for work between 5 a.m. and 5:59 a.m.,percent_of_commuters_aged_15_plus_leaving_for_work_12_pm_459_am,2593,2587,indiv,residents,Percentage 7,percent_pop,Labour force,Commute hours
# of commuters aged 15+ who commute for less than 15 minutes,commuters aged 15+ who commute for less than 15 minutes,number_of_commuters_aged_15_plus_commute_less_than_15_minutes,2582,ONE,indiv,residents,Number,count,Labour force,Commute times
# of commuters aged 15+ who commute for 15 to 29 minutes,commuters aged 15+ who commute for 15 to 29 minutes,number_of_commuters_aged_15_plus_commute_15_29_minutes,2583,ONE,indiv,residents,Number,count,Labour force,Commute times
# of commuters aged 15+ who commute for 30 to 44 minutes,commuters aged 15+ who commute for 30 to 44 minutes,number_of_commuters_aged_15_plus_commute_30_44_minutes,2584,ONE,indiv,residents,Number,count,Labour force,Commute times
# of commuters aged 15+ who commute for 45 to 59 minutes,commuters aged 15+ who commute for 45 to 59 minutes,number_of_commuters_aged_15_plus_commute_45_59_minutes,2585,ONE,indiv,residents,Number,count,Labour force,Commute times
# of commuters aged 15+ who commute for 60 minutes and over,commuters aged 15+ who commute for 60 minutes and over,number_of_commuters_aged_15_plus_commute_60_plus_minutes,2586,ONE,indiv,residents,Number,count,Labour force,Commute times
% of commuters aged 15+ who commute for less than 15 minutes,commuters aged 15+ who commute for less than 15 minutes,percent_of_commuters_aged_15_plus_commute_less_than_15_minutes,2582,2581,indiv,residents,Percentage 2,percent_pop,Labour force,Commute times
% of commuters aged 15+ who commute for 15 to 29 minutes,commuters aged 15+ who commute for 15 to 29 minutes,percent_of_commuters_aged_15_plus_commute_15_29_minutes,2583,2581,indiv,residents,Percentage 3,percent_pop,Labour force,Commute times
% of commuters aged 15+ who commute for 30 to 44 minutes,commuters aged 15+ who commute for 30 to 44 minutes,percent_of_commuters_aged_15_plus_commute_30_44_minutes,2584,2581,indiv,residents,Percentage 4,percent_pop,Labour force,Commute times
% of commuters aged 15+ who commute for 45 to 59 minutes,commuters aged 15+ who commute for 45 to 59 minutes,percent_of_commuters_aged_15_plus_commute_45_59_minutes,2585,2581,indiv,residents,Percentage 5,percent_pop,Labour force,Commute times
% of commuters aged 15+ who commute for 60 minutes and over,commuters aged 15+ who commute for 60 minutes and over,percent_of_commuters_aged_15_plus_commute_60_plus_minutes,2586,2581,indiv,residents,Percentage 6,percent_pop,Labour force,Commute times
# of commuters aged 15+ who commute within Ottawa,commuters aged 15+ who commute within Ottawa,number_of_commuters_aged_15_plus_commute_within_Ottawa,2569,ONE,indiv,residents,Number,count,Labour force,Commute destinations
# of commuters aged 15+ who commute outside of Ottawa (in Ontario),commuters aged 15+ who commute outside of Ottawa (in Ontario),number_of_commuters_aged_15_plus_commute_outside_of_ottawa_in_ontario,2571,ONE,indiv,residents,Number,count,Labour force,Commute destinations
# of commuters aged 15+ who commute to a different province/territory,commuters aged 15+ who commute to a different province/territory,number_of_commuters_aged_15_plus_commute_outside_ontario,2572,ONE,indiv,residents,Number,count,Labour force,Commute destinations
% of commuters aged 15+ who commute within Ottawa,commuters aged 15+ who commute within Ottawa,percent_of_commuters_aged_15_plus_commute_within_Ottawa,2569,2568,indiv,residents,Percentage 2,percent_pop,Labour force,Commute destinations
% of commuters aged 15+ who commute outside of Ottawa (in Ontario),commuters aged 15+ who commute outside of Ottawa (in Ontario),percent_of_commuters_aged_15_plus_commute_within_Ottawa,2571,2568,indiv,residents,Percentage 3,percent_pop,Labour force,Commute destinations
% of commuters aged 15+ who commute to a different province/territory,commuters aged 15+ who commute to a different province/territory,percent_of_commuters_aged_15_plus_commute_within_Ottawa,2572,2568,indiv,residents,Percentage 4,percent_pop,Labour force,Commute destinations
# of people aged 25-64 with no high school diploma or equivalent,people aged 25-64 with no high school diploma or equivalent,number_of_people_aged_25_64_with_no_high_school_diploma,2059,ONE,indiv,residents,Number,count,Education,Education
# of people aged 25-64 with a high school diploma or equivalent,people aged 25-64 with a high school diploma or equivalent,number_of_people_aged_25_64_with_high_school_diploma,2060,ONE,indiv,residents,Number,count,Education,Education
"# of people aged 25-64 with a postsecondary certificate, diploma, or degree","people aged 25-64 with a postsecondary degree, diploma, or degree",number_of_people_aged_25_64_with_postsecondary_certificate_diploma_or_degree,2064,ONE,indiv,residents,Number,count,Education,Education
# of people aged 25-64 with an apprencticeship or trades certificate,people aged 25-64 with an apprencticeship or trades certificate,number_of_people_aged_25_64_with_apprenticeship_trades_certificate,2066,ONE,indiv,residents,Number,count,Education,Education
"# of people aged 25-64 with a college, CEGEP, or other non-university certificate/diploma","people aged 25-64 with a college, CEGEP, or other non-university certificate/diploma",number_of_people_aged_25_64_with_college_cegep_diploma,2069,ONE,indiv,residents,Number,count,Education,Education
# of people aged 25-64 with a university certificate below bachelor level,people aged 25-64 with a university certificate below bachelor level,number_of_people_aged_25_64_with_university_certificate_below_bachelors,2070,ONE,indiv,residents,Number,count,Education,Education
# of people aged 25-64 with a Bachelor's degree or higher,people aged 25-64 with a Bachelor's degree or higher,number_of_people_aged_25_64_with_bechelors_or_higher,2071,ONE,indiv,residents,Number,count,Education,Education
# of people aged 25-64 with a Bachelor's degree,people aged 25-64 with a Bachelor's degree,number_of_people_aged_25_64_with_bachelors,2072,ONE,indiv,residents,Number,count,Education,Education
# of people aged 25-64 with a Master's degree,people aged 25-64 with a Master's degree,number_of_people_aged_25_64_with_masters,2075,ONE,indiv,residents,Number,count,Education,Education
# of people aged 25-64 with a doctorate,people aged 25-64 with a doctorate,number_of_people_aged_25_64_with_doctorate,2076,ONE,indiv,residents,Number,count,Education,Education
% of people aged 25-64 with no high school diploma or equivalent,people aged 25-64 with no high school diploma or equivalent,percent_of_people_aged_25_64_with_no_high_school_diploma,2059,2058,indiv,residents,Percentage 2,percent_pop,Education,Education
% of people aged 25-64 with a high school diploma or equivalent,people aged 25-64 with a high school diploma or equivalent,percent_of_people_aged_25_64_with_high_school_diploma,2060,2058,indiv,residents,Percentage 2,percent_pop,Education,Education
"% of people aged 25-64 with a postsecondary certificate, diploma, or degree","people aged 25-64 with a postsecondary degree, diploma, or degree",percent_of_people_aged_25_64_with_postsecondary_certificate_diploma_or_degree,2064,2058,indiv,residents,Percentage 2,percent_pop,Education,Education
% of people aged 25-64 with an apprencticeship or trades certificate,people aged 25-64 with an apprencticeship or trades certificate,percent_of_people_aged_25_64_with_apprenticeship_trades_certificate,2066,2058,indiv,residents,Percentage 2,percent_pop,Education,Education
"% of people aged 25-64 with a college, CEGEP, or other non-university certificate/diploma","people aged 25-64 with a college, CEGEP, or other non-university certificate/diploma",percent_of_people_aged_25_64_with_college_cegep_diploma,2069,2058,indiv,residents,Percentage 2,percent_pop,Education,Education
% of people aged 25-64 with a university certificate below bachelor level,people aged 25-64 with a university certificate below bachelor level,percent_of_people_aged_25_64_with_university_certificate_below_bachelors,2070,2058,indiv,residents,Percentage 2,percent_pop,Education,Education
% of people aged 25-64 with a Bachelor's degree or higher,people aged 25-64 with a Bachelor's degree or higher,percent_of_people_aged_25_64_with_bechelors_or_higher,2071,2058,indiv,residents,Percentage 2,percent_pop,Education,Education
% of people aged 25-64 with a Bachelor's degree,people aged 25-64 with a Bachelor's degree,percent_of_people_aged_25_64_with_bachelors,2072,2058,indiv,residents,Percentage 2,percent_pop,Education,Education
% of people aged 25-64 with a Master's degree,people aged 25-64 with a Master's degree,percent_of_people_aged_25_64_with_masters,2075,2058,indiv,residents,Percentage 2,percent_pop,Education,Education
% of people aged 25-64 with a doctorate,people aged 25-64 with a doctorate,percent_of_people_aged_25_64_with_doctorate,2076,2058,indiv,residents,Percentage 2,percent_pop,Education,Education
# of households,of households,number_of_households,230,ONE,households,households,Number,count,Demographics,Household types
# of multigenerational households,of multigenerational households,number_of_multigenerational_households,236,ONE,households,households,Number,count,Demographics,Household types
% of multigenerational households,of multigenerational households,percent_of_multigenerational_households,236,230,households,households,Number,count,Demographics,Household types
# of census families,of census families,number_of_census_families,389,ONE,households,households,Number,count,Demographics,Household types
# of couple families,of couple families,number_of_couple_families,390,ONE,households,households,Number,count,Demographics,Household types
# of couple families with children,of couple families with children,number_of_couple_families_with_children,392+395,ONE,households,households,Number,count,Demographics,Household types
# of couple families without children,of couple families without children,number_of_couple_families_without_children,393+396,ONE,households,households,Number,count,Demographics,Household types
% of census families,of census families,percent_of_census_families,389,389,households,households,Percentage 2,percent_pop,Demographics,Household types
% of couple families,of couple families,percent_of_couple_families,390,389,households,households,Percentage 2,percent_pop,Demographics,Household types
% of couple families with children,of couple families with children,percent_of_couple_families_with_children,392+395,389,households,households,Percentage 2,percent_pop,Demographics,Household types
% of couple families without children,of couple families without children,percent_of_couple_families_without_children,393+396,389,households,households,Percentage 2,percent_pop,Demographics,Household types
Median after-tax income of households in 2020  ($),after-tax income of households in 2020,median_after_tax_income_of_households_2020,244,ONE,households,households,Median,Dollar,Income,After-tax household income
Average after-tax income of households in 2020 ($),after-tax income of households in 2021,average_after_tax_income_of_households_2020,245,ONE,households,households,Average,Dollar,Income,
Median after-tax income of one-person households in 2020  ($),after-tax income of one-person households in 2022,median_after-tax income of one_person_households_2020,249,ONE,households,households,Median,Dollar,Income,
Average after-tax income of one-person households in 2020  ($),after-tax income of  one-person households in 2023,average_after-tax income of one_person_households_2020,250,ONE,households,households,Average,Dollar,Income,
Median after-tax income of two-or-more-person households in 2020  ($),after-tax income of two-or-more-person households in 2024,median_after-tax income of two-or-more_person_households_2020,254,ONE,households,households,Median,Dollar,Income,
Average after-tax income of two-or-more-person households in 2020  ($),after-tax income of two-or-more-person households in 2025,average_after-tax income of two-or-more_person_households_2020,255,ONE,households,households,Average,Dollar,Income,
